# Time          5.0000E+01
# Units: Bars
    Distance        CO2(g)           O2(g)            CH4(g)          
    9.0000000E-02    1.9941743E-02    2.0999544E-01    1.9000016E-04
    2.7000000E-01    1.9770743E-02    2.0998634E-01    1.9000048E-04
    4.5000000E-01    1.9601651E-02    2.0997718E-01    1.9000081E-04
    6.3000000E-01    1.9435500E-02    2.0996795E-01    1.9000112E-04
    8.1000000E-01    1.9272827E-02    2.0995866E-01    1.9000143E-04
    9.9000000E-01    1.9113452E-02    2.0994931E-01    1.9000174E-04
    1.1700000E+00    1.8956932E-02    2.0993991E-01    1.9000204E-04
    1.3500000E+00    1.8802693E-02    2.0993045E-01    1.9000234E-04
    1.5300000E+00    1.8650056E-02    2.0992095E-01    1.9000263E-04
    1.7100000E+00    1.8498231E-02    2.0991140E-01    1.9000292E-04
    1.8900000E+00    1.8346279E-02    2.0990180E-01    1.9000320E-04
    2.0700000E+00    1.8194152E-02    2.0989222E-01    1.9000348E-04
    2.2500000E+00    1.8046794E-02    2.0988265E-01    1.9000376E-04
    2.4300000E+00    1.7902967E-02    2.0987304E-01    1.9000402E-04
    2.6100000E+00    1.7762457E-02    2.0986338E-01    1.9000429E-04
    2.7900000E+00    1.7625069E-02    2.0985366E-01    1.9000454E-04
    2.9700000E+00    1.7490624E-02    2.0984389E-01    1.9000480E-04
    3.1500000E+00    1.7358959E-02    2.0983406E-01    1.9000505E-04
    3.3300000E+00    1.7229924E-02    2.0982417E-01    1.9000529E-04
    3.5100000E+00    1.7103380E-02    2.0981423E-01    1.9000553E-04
    3.6900000E+00    1.6979198E-02    2.0980423E-01    1.9000577E-04
    3.8700000E+00    1.6857259E-02    2.0979417E-01    1.9000600E-04
    4.0500000E+00    1.6737455E-02    2.0978405E-01    1.9000623E-04
    4.2300000E+00    1.6619682E-02    2.0977388E-01    1.9000645E-04
    4.4100000E+00    1.6503843E-02    2.0976364E-01    1.9000667E-04
    4.5900000E+00    1.6389855E-02    2.0975334E-01    1.9000689E-04
    4.7700000E+00    1.6277638E-02    2.0974298E-01    1.9000710E-04
    4.9500000E+00    1.6167117E-02    2.0973256E-01    1.9000731E-04
    5.1300000E+00    1.6058223E-02    2.0972207E-01    1.9000751E-04
    5.3100000E+00    1.5950891E-02    2.0971153E-01    1.9000771E-04
    5.4900000E+00    1.5845060E-02    2.0970091E-01    1.9000791E-04
    5.6700000E+00    1.5740672E-02    2.0969024E-01    1.9000810E-04
    5.8500000E+00    1.5637673E-02    2.0967950E-01    1.9000829E-04
    6.0300000E+00    1.5536011E-02    2.0966869E-01    1.9000848E-04
    6.2100000E+00    1.5435637E-02    2.0965782E-01    1.9000866E-04
    6.3900000E+00    1.5336505E-02    2.0964689E-01    1.9000884E-04
    6.5700000E+00    1.5238569E-02    2.0963588E-01    1.9000901E-04
    6.7500000E+00    1.5141787E-02    2.0962481E-01    1.9000918E-04
    6.9300000E+00    1.5046115E-02    2.0961367E-01    1.9000935E-04
    7.1100000E+00    1.4951512E-02    2.0960247E-01    1.9000952E-04
    7.2900000E+00    1.4857937E-02    2.0959119E-01    1.9000968E-04
    7.4700000E+00    1.4765347E-02    2.0957985E-01    1.9000983E-04
    7.6500000E+00    1.4673701E-02    2.0956843E-01    1.9000999E-04
    7.8300000E+00    1.4582952E-02    2.0955695E-01    1.9001014E-04
    8.0100000E+00    1.4493054E-02    2.0954539E-01    1.9001028E-04
    8.1900000E+00    1.4403321E-02    2.0953368E-01    1.9001043E-04
    8.3700000E+00    1.4314103E-02    2.0952181E-01    1.9001057E-04
    8.5500000E+00    1.4225871E-02    2.0950988E-01    1.9001071E-04
    8.7300000E+00    1.4138607E-02    2.0949786E-01    1.9001084E-04
    8.9100000E+00    1.4052297E-02    2.0948578E-01    1.9001098E-04
    9.0900000E+00    1.3966932E-02    2.0947362E-01    1.9001111E-04
    9.2700000E+00    1.3882508E-02    2.0946138E-01    1.9001123E-04
    9.4500000E+00    1.3799028E-02    2.0944907E-01    1.9001135E-04
    9.6300000E+00    1.3716502E-02    2.0943668E-01    1.9001147E-04
    9.8100000E+00    1.3634952E-02    2.0942422E-01    1.9001159E-04
    9.9900000E+00    1.3554409E-02    2.0941167E-01    1.9001170E-04
    1.0170000E+01    1.3474922E-02    2.0939905E-01    1.9001181E-04
    1.0350000E+01    1.3396558E-02    2.0938635E-01    1.9001191E-04
    1.0530000E+01    1.3319408E-02    2.0937357E-01    1.9001201E-04
    1.0710000E+01    1.3243596E-02    2.0936071E-01    1.9001211E-04
    1.0890000E+01    1.3169284E-02    2.0934777E-01    1.9001221E-04
    1.1070000E+01    1.3096684E-02    2.0933475E-01    1.9001230E-04
    1.1250000E+01    1.3026072E-02    2.0932164E-01    1.9001239E-04
    1.1430000E+01    1.2957806E-02    2.0930846E-01    1.9001247E-04
    1.1610000E+01    1.2892349E-02    2.0929518E-01    1.9001256E-04
    1.1790000E+01    1.2830295E-02    2.0928183E-01    1.9001263E-04
    1.1970000E+01    1.2772409E-02    2.0926839E-01    1.9001271E-04
    1.2150000E+01    1.2719674E-02    2.0925486E-01    1.9001278E-04
    1.2330000E+01    1.2673349E-02    2.0924125E-01    1.9001285E-04
    1.2510000E+01    1.2634809E-02    2.0922746E-01    1.9001292E-04
    1.2690000E+01    1.2596270E-02    2.0921397E-01    1.9001298E-04
    1.2870000E+01    1.2557890E-02    2.0920088E-01    1.9001304E-04
