# Time          5.0000E+01
# Units: Mol/g solid
    Distance        NaXEel           KXEel            CaXEel           MgXEel          
    9.0000000E-02    3.1948092E-08    3.1683452E-07    6.2777452E-06    3.5500923E-06
    2.7000000E-01    3.6621372E-08    2.6103919E-07    6.2410955E-06    3.6148217E-06
    4.5000000E-01    4.0879817E-08    2.5510560E-07    6.2402170E-06    3.6163893E-06
    6.3000000E-01    4.4664890E-08    2.7328275E-07    6.2383357E-06    3.6071180E-06
    8.1000000E-01    4.8089866E-08    3.0801424E-07    6.2321812E-06    3.5939833E-06
    9.9000000E-01    5.1241178E-08    3.5515409E-07    6.2221630E-06    3.5786423E-06
    1.1700000E+00    5.4172010E-08    4.1123868E-07    6.2091573E-06    3.5619372E-06
    1.3500000E+00    5.6913419E-08    4.7297766E-07    6.1940871E-06    3.5445795E-06
    1.5300000E+00    5.9485383E-08    5.3734413E-07    6.1777978E-06    3.5272295E-06
    1.7100000E+00    6.1905321E-08    6.0177523E-07    6.1609735E-06    3.5104785E-06
    1.8900000E+00    6.4195087E-08    6.6414407E-07    6.1439731E-06    3.4950235E-06
    2.0700000E+00    1.6815586E-10    1.5824940E-09    1.5164467E-08    8.9699741E-09
    2.2500000E+00    1.7540105E-10    1.5137255E-09    1.5002366E-08    9.1623635E-09
    2.4300000E+00    1.8229846E-10    1.4523273E-09    1.4866816E-08    9.3247612E-09
    2.6100000E+00    1.8889215E-10    1.3968880E-09    1.4751996E-08    9.4636190E-09
    2.7900000E+00    1.9521741E-10    1.3463462E-09    1.4653684E-08    9.5836679E-09
    2.9700000E+00    2.0130310E-10    1.2998856E-09    1.4568732E-08    9.6884511E-09
    3.1500000E+00    2.0717311E-10    1.2568671E-09    1.4494738E-08    9.7806754E-09
    3.3300000E+00    2.1284743E-10    1.2167832E-09    1.4429842E-08    9.8624451E-09
    3.5100000E+00    2.1834293E-10    1.1792254E-09    1.4372579E-08    9.9354205E-09
    3.6900000E+00    2.2367387E-10    1.1438617E-09    1.4321779E-08    1.0000930E-08
    3.8700000E+00    2.2885229E-10    1.1104742E-09    1.4276485E-08    1.0060031E-08
    4.0500000E+00    2.3388841E-10    1.0788778E-09    1.4235919E-08    1.0113592E-08
    4.2300000E+00    2.3879101E-10    1.0488749E-09    1.4199445E-08    1.0162339E-08
    4.4100000E+00    2.4356753E-10    1.0202991E-09    1.4166538E-08    1.0206879E-08
    4.5900000E+00    2.4822425E-10    9.9300873E-10    1.4136755E-08    1.0247721E-08
    4.7700000E+00    2.5276643E-10    9.6688295E-10    1.4109723E-08    1.0285294E-08
    4.9500000E+00    2.5719839E-10    9.4181802E-10    1.4085125E-08    1.0319967E-08
    5.1300000E+00    2.6152363E-10    9.1772448E-10    1.4062688E-08    1.0352052E-08
    5.3100000E+00    2.6574488E-10    8.9452495E-10    1.4042179E-08    1.0381822E-08
    5.4900000E+00    2.6986422E-10    8.7215225E-10    1.4023396E-08    1.0409509E-08
    5.6700000E+00    2.7388313E-10    8.5054786E-10    1.4006162E-08    1.0435319E-08
    5.8500000E+00    2.7780258E-10    8.2966069E-10    1.3990325E-08    1.0459430E-08
    6.0300000E+00    2.8162309E-10    8.0944599E-10    1.3975748E-08    1.0481999E-08
    6.2100000E+00    2.8534490E-10    7.8986442E-10    1.3962312E-08    1.0503165E-08
    6.3900000E+00    2.8896797E-10    7.7088127E-10    1.3949913E-08    1.0523049E-08
    6.5700000E+00    2.9249221E-10    7.5246576E-10    1.3938455E-08    1.0541762E-08
    6.7500000E+00    2.9591749E-10    7.3459039E-10    1.3927856E-08    1.0559402E-08
