# Time          5.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer           HCO3-            Al(OH)2+         AlO2-            AlOH++           FeOH+            FeOH++           FeSO4(aq)        FeSO4+           OH-              CO3--            FeCO3(aq)        FeCO3+           FeHCO3+          NaCO3-           NaHCO3(aq)   
    9.0000000E-02    5.7725867E+00   -5.7658255E+00   -3.9999999E+00   -5.0038913E+00   -5.3102076E+00   -5.2599086E+00   -6.5011713E+00   -4.8643143E+00   -2.9546420E+00   -3.4758248E+00   -6.4486716E+00   -7.2789866E+00   -1.3923370E+01   -1.4000000E+01   -1.4000003E+01   -5.4966542E+00   -1.4000000E+01   -4.1764030E+00   -3.0000000E+01   -3.6186053E+00   -6.4061443E+00   -7.8386697E+00   -6.1211072E+00   -1.1026918E+01   -1.0374079E+01   -1.9134122E+01   -2.6280499E+01   -8.6858543E+00   -8.2880712E+00   -1.0758171E+01   -1.2014987E+01   -8.2050241E+00   -1.2648582E+01   -8.3683841E+00
    2.7000000E-01    5.8005808E+00   -5.7934346E+00   -3.9999999E+00   -4.8090869E+00   -5.0527434E+00   -5.1953687E+00   -6.7921225E+00   -4.6098286E+00   -2.9510359E+00   -3.4927268E+00   -6.4486727E+00   -7.1884818E+00   -1.4336381E+01   -1.4000000E+01   -1.4000004E+01   -5.2306019E+00   -1.4000000E+01   -5.0613596E+00   -3.0000000E+01   -3.5865996E+00   -6.6441764E+00   -8.0207137E+00   -6.3859287E+00   -1.0909601E+01   -1.0760961E+01   -1.9046821E+01   -2.6698196E+01   -8.6574552E+00   -8.2268668E+00   -1.0609658E+01   -1.2371471E+01   -8.0840991E+00   -1.2394181E+01   -8.1423825E+00
    4.5000000E-01    5.8317752E+00   -5.8242698E+00   -3.9999999E+00   -4.6828977E+00   -4.9009955E+00   -5.1062146E+00   -7.0607623E+00   -4.4577887E+00   -2.9530370E+00   -3.5095184E+00   -6.4486737E+00   -7.1375717E+00   -1.4426501E+01   -1.4000000E+01   -1.4000004E+01   -5.0790692E+00   -1.4000000E+01   -5.8966026E+00   -3.0000000E+01   -3.5570268E+00   -6.8532903E+00   -8.1674388E+00   -6.6251104E+00   -1.0828602E+01   -1.0821622E+01   -1.8998907E+01   -2.6792690E+01   -8.6258819E+00   -8.1649730E+00   -1.0499842E+01   -1.2404063E+01   -8.0050980E+00   -1.2207602E+01   -7.9873770E+00
    6.3000000E-01    5.8608963E+00   -5.8530596E+00   -3.9999999E+00   -4.5907330E+00   -4.7966461E+00   -5.0032283E+00   -7.2726255E+00   -4.3516175E+00   -2.9553448E+00   -3.5270576E+00   -6.4486747E+00   -7.1106836E+00   -1.4510686E+01   -1.4000000E+01   -1.4000004E+01   -4.9759476E+00   -1.4000000E+01   -6.5344544E+00   -3.0000000E+01   -3.5298625E+00   -7.0095520E+00   -8.2654583E+00   -6.8094517E+00   -1.0773613E+01   -1.0878285E+01   -1.8974787E+01   -2.6880913E+01   -8.5964103E+00   -8.1076461E+00   -1.0418388E+01   -1.2434952E+01   -7.9524147E+00   -1.2059500E+01   -7.8687478E+00
    8.1000000E-01    5.8872824E+00   -5.8791416E+00   -3.9999999E+00   -4.5186958E+00   -4.7190862E+00   -4.8973948E+00   -7.4456992E+00   -4.2715466E+00   -2.9571470E+00   -3.5455296E+00   -6.4486757E+00   -7.0991385E+00   -1.4586955E+01   -1.4000000E+01   -1.4000005E+01   -4.8997309E+00   -1.4000000E+01   -6.7868545E+00   -3.0000000E+01   -3.5049556E+00   -7.1322775E+00   -8.3354114E+00   -6.9576052E+00   -1.0736619E+01   -1.0929634E+01   -1.8965789E+01   -2.6960892E+01   -8.5697017E+00   -8.0553949E+00   -1.0357132E+01   -1.2462673E+01   -7.9172212E+00   -1.1936491E+01   -7.7724474E+00
    9.9000000E-01    5.9109382E+00   -5.9025169E+00   -3.9999999E+00   -4.4598480E+00   -4.6583924E+00   -4.7964691E+00   -7.5917884E+00   -4.2080575E+00   -2.9581617E+00   -3.5650446E+00   -6.4486765E+00   -7.0973320E+00   -1.4655290E+01   -1.4000000E+01   -1.4000004E+01   -4.8403547E+00   -1.4000000E+01   -6.8220434E+00   -3.0000000E+01   -3.4820160E+00   -7.2332899E+00   -8.3891123E+00   -7.0813883E+00   -1.0712023E+01   -1.0975663E+01   -1.8966334E+01   -2.7032650E+01   -8.5457479E+00   -8.0079146E+00   -1.0310190E+01   -1.2486944E+01   -7.8936370E+00   -1.1831344E+01   -7.6912549E+00
    1.1700000E+00    5.9318696E+00   -5.9231878E+00   -3.9999999E+00   -4.4102315E+00   -4.6088963E+00   -4.7045428E+00   -7.7169561E+00   -4.1558980E+00   -2.9581146E+00   -3.5857159E+00   -6.4486773E+00   -7.1012125E+00   -1.4715671E+01   -1.4000000E+01   -1.4000004E+01   -4.7921135E+00   -1.4000000E+01   -6.8099181E+00   -3.0000000E+01   -3.4607595E+00   -7.3186706E+00   -8.4326301E+00   -7.1868768E+00   -1.0695777E+01   -1.1016365E+01   -1.8972404E+01   -2.7096212E+01   -8.5245390E+00   -7.9649030E+00   -1.0273242E+01   -1.2507488E+01   -7.8773419E+00   -1.1739815E+01   -7.6209357E+00
    1.3500000E+00    5.9499665E+00   -5.9410404E+00   -3.9999999E+00   -4.3673657E+00   -4.5670330E+00   -4.6230171E+00   -7.8242696E+00   -4.1118717E+00   -2.9566483E+00   -3.6076738E+00   -6.4486780E+00   -7.1076044E+00   -1.4767729E+01   -1.4000000E+01   -1.4000004E+01   -4.7514194E+00   -1.4000000E+01   -6.7895203E+00   -3.0000000E+01   -3.4409352E+00   -7.3917363E+00   -8.4695020E+00   -7.2772661E+00   -1.0684827E+01   -1.1051499E+01   -1.8980850E+01   -2.7151255E+01   -8.5061815E+00   -7.9262084E+00   -1.0242988E+01   -1.2523830E+01   -7.8649238E+00   -1.1659287E+01   -7.5587657E+00
    1.5300000E+00    5.9649664E+00   -5.9558091E+00   -3.9999999E+00   -4.3295775E+00   -4.5304533E+00   -4.5517108E+00   -7.9149824E+00   -4.0738767E+00   -2.9532845E+00   -3.6310715E+00   -6.4486787E+00   -7.1138739E+00   -1.4810643E+01   -1.4000000E+01   -1.4000004E+01   -4.7159003E+00   -1.4000000E+01   -6.7667238E+00   -3.0000000E+01   -3.4223240E+00   -7.4542907E+00   -8.5020566E+00   -7.3540874E+00   -1.0676812E+01   -1.1080521E+01   -1.8989067E+01   -2.7196994E+01   -8.4909346E+00   -7.8918643E+00   -1.0216855E+01   -1.2535220E+01   -7.8535430E+00   -1.1588133E+01   -7.5028593E+00
    1.7100000E+00    5.9764297E+00   -5.9670515E+00   -3.9999999E+00   -4.2956647E+00   -4.4975786E+00   -4.4896724E+00   -7.9890236E+00   -4.0404364E+00   -2.9473914E+00   -3.6560910E+00   -6.4486794E+00   -7.1177518E+00   -1.4843064E+01   -1.4000000E+01   -1.4000004E+01   -4.6839530E+00   -1.4000000E+01   -6.7422453E+00   -3.0000000E+01   -3.4047308E+00   -7.5071639E+00   -8.5320033E+00   -7.4177228E+00   -1.0669910E+01   -1.1102536E+01   -1.8994807E+01   -2.7232115E+01   -8.4792350E+00   -7.8621068E+00   -1.0192832E+01   -1.2540578E+01   -7.8407464E+00   -1.1525399E+01   -7.4518250E+00
