# Time          5.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer           HCO3-            Al(OH)2+         AlO2-            AlOH++           FeOH+            FeOH++           FeSO4(aq)        FeSO4+           OH-              CO3--            FeCO3(aq)        FeCO3+           FeHCO3+          NaCO3-           NaHCO3(aq)   
    9.0000000E-02    5.9053123E+00   -5.8978208E+00   -3.9999999E+00   -4.6395429E+00   -4.8346899E+00   -4.8655300E+00   -7.3691009E+00   -4.4163880E+00   -3.0623737E+00   -3.4641328E+00   -6.4486768E+00   -7.1441124E+00   -1.4543627E+01   -1.4000000E+01   -1.4000004E+01   -5.0199823E+00   -1.4000000E+01   -3.2703151E+00   -3.0000000E+01   -3.5928409E+00   -7.0144446E+00   -8.1815187E+00   -6.8598451E+00   -1.0761563E+01   -1.0865145E+01   -1.9005332E+01   -2.6909648E+01   -8.5523593E+00   -8.1272932E+00   -1.0468588E+01   -1.2483342E+01   -8.0473959E+00   -1.2126509E+01   -7.9798073E+00
    2.7000000E-01    6.0110255E+00   -6.0024358E+00   -3.9999999E+00   -4.4205764E+00   -4.5905109E+00   -4.5716760E+00   -7.9727752E+00   -4.1775094E+00   -3.0723142E+00   -3.4641708E+00   -6.4486846E+00   -7.1852831E+00   -1.4953919E+01   -1.4000000E+01   -1.4000004E+01   -4.7786348E+00   -1.4000000E+01   -3.2673720E+00   -3.0000000E+01   -3.4959015E+00   -7.4154440E+00   -8.3710917E+00   -7.3630975E+00   -1.0700407E+01   -1.1175014E+01   -1.9055699E+01   -2.7333334E+01   -8.4454813E+00   -7.9211804E+00   -1.0312818E+01   -1.2700891E+01   -7.9961722E+00   -1.1706049E+01   -7.6662267E+00
    4.5000000E-01    6.0919657E+00   -6.0825206E+00   -3.9999999E+00   -4.2964435E+00   -4.4560092E+00   -4.3768887E+00   -8.3808722E+00   -4.0552020E+00   -3.0819796E+00   -3.4642079E+00   -6.4486914E+00   -7.3099405E+00   -1.5188877E+01   -1.4000000E+01   -1.4000003E+01   -4.6483847E+00   -1.4000000E+01   -3.2644488E+00   -3.0000000E+01   -3.4237112E+00   -7.6684732E+00   -8.4622406E+00   -7.6943555E+00   -1.0746770E+01   -1.1333133E+01   -1.9187559E+01   -2.7578745E+01   -8.3636273E+00   -7.7653387E+00   -1.0288815E+01   -1.2790439E+01   -8.0521940E+00   -1.1429694E+01   -7.4717272E+00
    6.3000000E-01    6.1578172E+00   -6.1476635E+00   -3.9999999E+00   -4.2119816E+00   -4.3624904E+00   -4.2425065E+00   -8.6932378E+00   -3.9791298E+00   -3.0914364E+00   -3.4642444E+00   -6.4486976E+00   -7.4474219E+00   -1.5380064E+01   -1.4000000E+01   -1.4000002E+01   -4.5586077E+00   -1.4000000E+01   -3.2615450E+00   -3.0000000E+01   -3.3665533E+00   -7.8547778E+00   -8.5168421E+00   -7.9442543E+00   -1.0820599E+01   -1.1461853E+01   -1.9331035E+01   -2.7778607E+01   -8.2970142E+00   -7.6400718E+00   -1.0307005E+01   -1.2865015E+01   -8.1354725E+00   -1.1222979E+01   -7.3316271E+00
    8.1000000E-01    6.2136141E+00   -6.2028492E+00   -3.9999999E+00   -4.1490210E+00   -4.2894733E+00   -4.1453419E+00   -8.9484420E+00   -3.9274143E+00   -3.1007322E+00   -3.4642805E+00   -6.4487034E+00   -7.5712640E+00   -1.5541989E+01   -1.4000000E+01   -1.4000001E+01   -4.4887599E+00   -1.4000000E+01   -3.2586606E+00   -3.0000000E+01   -3.3193906E+00   -8.0032533E+00   -8.5537239E+00   -8.1465715E+00   -1.0890545E+01   -1.1570892E+01   -1.9460068E+01   -2.7948027E+01   -8.2405572E+00   -7.5351571E+00   -1.0331105E+01   -1.2929502E+01   -8.2147080E+00   -1.1057714E+01   -7.2228209E+00
    9.9000000E-01    6.2622738E+00   -6.2509677E+00   -3.9999999E+00   -4.0994067E+00   -4.2288434E+00   -4.0718242E+00   -9.1648069E+00   -3.8904094E+00   -3.1099032E+00   -3.4643162E+00   -6.4487089E+00   -7.6772990E+00   -1.5683119E+01   -1.4000000E+01   -1.4000001E+01   -4.4308132E+00   -1.4000000E+01   -3.2557952E+00   -3.0000000E+01   -3.2793134E+00   -8.1266051E+00   -8.5797563E+00   -8.3168456E+00   -1.0949606E+01   -1.1665931E+01   -1.9570715E+01   -2.8095800E+01   -8.1913105E+00   -7.4446828E+00   -1.0351261E+01   -1.2986783E+01   -8.2829347E+00   -1.0919945E+01   -7.1343006E+00
    1.1700000E+00    6.3056094E+00   -6.2938158E+00   -3.9999999E+00   -4.0588115E+00   -4.1767634E+00   -4.0139668E+00   -9.3533511E+00   -3.8632114E+00   -3.1189774E+00   -3.4643516E+00   -6.4487141E+00   -7.7689861E+00   -1.5808744E+01   -1.4000000E+01   -1.4000001E+01   -4.3810212E+00   -1.4000000E+01   -3.2529485E+00   -3.0000000E+01   -3.2445197E+00   -8.2323567E+00   -8.5988367E+00   -8.4643625E+00   -1.0999480E+01   -1.1750529E+01   -1.9666570E+01   -2.8227417E+01   -8.1474439E+00   -7.3649831E+00   -1.0367400E+01   -1.3038685E+01   -8.3418767E+00   -1.0801748E+01   -7.0599708E+00
    1.3500000E+00    6.3448317E+00   -6.3325934E+00   -3.9999999E+00   -4.0246815E+00   -4.1310971E+00   -3.9668767E+00   -9.5206716E+00   -3.8429509E+00   -3.1279779E+00   -3.4643868E+00   -6.4487191E+00   -7.8502047E+00   -1.5922406E+01   -1.4000000E+01   -1.4000001E+01   -4.3373266E+00   -1.4000000E+01   -3.2501204E+00   -3.0000000E+01   -3.2138105E+00   -8.3247695E+00   -8.6128049E+00   -8.5945610E+00   -1.1042866E+01   -1.1827069E+01   -1.9751601E+01   -2.8346550E+01   -8.1077356E+00   -7.2936150E+00   -1.0381047E+01   -1.3086434E+01   -8.3942586E+00   -1.0698168E+01   -6.9961008E+00
    1.5300000E+00    6.3807878E+00   -6.3681401E+00   -3.9999999E+00   -3.9953920E+00   -4.0904838E+00   -3.9274763E+00   -9.6712359E+00   -3.8278145E+00   -3.1369237E+00   -3.4644217E+00   -6.4487239E+00   -7.9236622E+00   -1.6026583E+01   -1.4000000E+01   -1.4000000E+01   -4.2984320E+00   -1.4000000E+01   -3.2473106E+00   -3.0000000E+01   -3.1863499E+00   -8.4066776E+00   -8.6228007E+00   -8.7110989E+00   -1.1081650E+01   -1.1897219E+01   -1.9828577E+01   -2.8455770E+01   -8.0713305E+00   -7.2288720E+00   -1.0393265E+01   -1.3130896E+01   -8.4419828E+00   -1.0605907E+01   -6.9402462E+00
    1.7100000E+00    6.4140930E+00   -6.4010654E+00   -3.9999999E+00   -3.9698506E+00   -4.0539731E+00   -3.8937677E+00   -9.8082301E+00   -3.8165889E+00   -3.1458313E+00   -3.4644565E+00   -6.4487285E+00   -7.9911254E+00   -1.6123071E+01   -1.4000000E+01   -1.4000000E+01   -4.2634363E+00   -1.4000000E+01   -3.2445183E+00   -3.0000000E+01   -3.1615334E+00   -8.4800816E+00   -8.6295945E+00   -8.8165745E+00   -1.1116999E+01   -1.1962188E+01   -1.9899312E+01   -2.8556939E+01   -8.0376077E+00   -7.1695169E+00   -1.0404631E+01   -1.3172696E+01   -8.4862347E+00   -1.0522658E+01   -6.8907214E+00
    1.8900000E+00    6.4452094E+00   -6.4318273E+00   -3.9999999E+00   -3.9472725E+00   -4.0208505E+00   -3.8644654E+00   -9.9340440E+00   -3.8084051E+00   -3.1547151E+00   -3.4644911E+00   -6.4487329E+00   -8.0538047E+00   -1.6213218E+01   -1.4000000E+01   -1.4000000E+01   -4.2316326E+00   -1.4000000E+01   -3.2414390E+00   -3.0000000E+01   -3.1389084E+00   -8.5464815E+00   -8.6337614E+00   -8.9129366E+00   -1.1149675E+01   -1.2022884E+01   -1.9965053E+01   -2.8651461E+01   -8.0061002E+00   -7.1146211E+00   -1.0415462E+01   -1.3212308E+01   -8.5277899E+00   -1.0446726E+01   -6.8462980E+00
    2.0700000E+00    6.4752200E+00   -6.4614647E+00   -3.9999999E+00   -3.9184301E+00   -3.9864506E+00   -3.8680636E+00   -9.9746633E+00   -3.7909919E+00   -3.1635287E+00   -3.4645259E+00   -6.4487378E+00   -8.1697844E+00   -1.6300258E+01   -1.4000000E+01   -1.4000000E+01   -4.1801540E+00   -1.4000000E+01   -3.1010121E+00   -3.0000000E+01   -3.1172973E+00   -8.5300457E+00   -8.5573044E+00   -8.9252939E+00   -1.1236818E+01   -1.2081661E+01   -2.0084262E+01   -2.8743108E+01   -7.9756769E+00   -7.0617819E+00   -1.0481816E+01   -1.3251101E+01   -8.6237407E+00   -1.0366671E+01   -6.7966675E+00
