# Time          5.0000E+01
# Units: Bars
    Distance        CO2(g)           O2(g)            CH4(g)          
    1.5390000E+01    5.5862757E-02    1.2030987E-01    1.9002169E-04
    1.5570000E+01    5.5796189E-02    1.2100551E-01    1.9002173E-04
    1.5750000E+01    5.5731665E-02    1.2164701E-01    1.9002178E-04
    1.5930000E+01    5.5669412E-02    1.2223521E-01    1.9002182E-04
    1.6110000E+01    5.5609691E-02    1.2277090E-01    1.9002185E-04
    1.6290000E+01    5.5552797E-02    1.2325493E-01    1.9002188E-04
    1.6470000E+01    5.5499065E-02    1.2368808E-01    1.9002191E-04
    1.6650000E+01    5.5448879E-02    1.2407113E-01    1.9002194E-04
    1.6830000E+01    5.5402672E-02    1.2440477E-01    1.9002196E-04
    1.7010000E+01    5.5360940E-02    1.2468966E-01    1.9002198E-04
    1.7190000E+01    5.5324244E-02    1.2492634E-01    1.9002200E-04
    1.7370000E+01    5.5293223E-02    1.2511526E-01    1.9002201E-04
    1.7550000E+01    5.5268603E-02    1.2525677E-01    1.9002202E-04
    1.7730000E+01    5.5251209E-02    1.2535107E-01    1.9002203E-04
    1.7910000E+01    5.5241980E-02    1.2539825E-01    1.9002203E-04
