# Time          5.0000E+01
# Units: Mol/g solid
    Distance        NaXEel           KXEel            CaXEel           MgXEel          
    9.0000000E-02    3.9159720E-08    3.4693984E-07    6.2462413E-06    3.5640342E-06
    2.7000000E-01    4.8547835E-08    4.5945761E-07    6.2063155E-06    3.5434239E-06
    4.5000000E-01    5.5646670E-08    6.1364361E-07    6.1695302E-06    3.4990226E-06
    6.3000000E-01    6.1261575E-08    7.7264901E-07    6.1316268E-06    3.4541386E-06
    8.1000000E-01    6.5777981E-08    9.1957488E-07    6.0964265E-06    3.4132097E-06
    9.9000000E-01    6.9444094E-08    1.0479957E-06    6.0658580E-06    3.3773879E-06
    1.1700000E+00    7.2450031E-08    1.1575997E-06    6.0401313E-06    3.3465149E-06
    1.3500000E+00    7.4942594E-08    1.2507737E-06    6.0186346E-06    3.3199273E-06
    1.5300000E+00    7.7034742E-08    1.3302676E-06    6.0006282E-06    3.2969268E-06
    1.7100000E+00    7.8811587E-08    1.3986674E-06    5.9854125E-06    3.2768716E-06
    1.8900000E+00    8.0340900E-08    1.4574831E-06    5.9721988E-06    3.2597567E-06
    2.0700000E+00    2.0635175E-10    3.4564310E-09    1.4777121E-08    8.3935884E-09
    2.2500000E+00    2.1127079E-10    3.2944660E-09    1.4655047E-08    8.5938161E-09
    2.4300000E+00    2.1570368E-10    3.1523910E-09    1.4555916E-08    8.7614699E-09
    2.6100000E+00    2.1972212E-10    3.0262846E-09    1.4473961E-08    8.9042236E-09
    2.7900000E+00    2.2338355E-10    2.9132546E-09    1.4405170E-08    9.0274975E-09
    2.9700000E+00    2.2673464E-10    2.8111109E-09    1.4346669E-08    9.1352293E-09
    3.1500000E+00    2.2981377E-10    2.7181583E-09    1.4296347E-08    9.2303503E-09
    3.3300000E+00    2.3265291E-10    2.6330590E-09    1.4252626E-08    9.3150880E-09
    3.5100000E+00    2.3527892E-10    2.5547404E-09    1.4214299E-08    9.3911663E-09
    3.6900000E+00    2.3771459E-10    2.4823296E-09    1.4180434E-08    9.4599411E-09
    3.8700000E+00    2.3997940E-10    2.4151074E-09    1.4150297E-08    9.5224933E-09
    4.0500000E+00    2.4209016E-10    2.3524749E-09    1.4123302E-08    9.5796962E-09
    4.2300000E+00    2.4406140E-10    2.2939279E-09    1.4098980E-08    9.6322632E-09
    4.4100000E+00    2.4590582E-10    2.2390385E-09    1.4076949E-08    9.6807830E-09
    4.5900000E+00    2.4763457E-10    2.1874405E-09    1.4056894E-08    9.7257458E-09
    4.7700000E+00    2.4925745E-10    2.1388181E-09    1.4038554E-08    9.7675636E-09
    4.9500000E+00    2.5078316E-10    2.0928974E-09    1.4021715E-08    9.8065851E-09
    5.1300000E+00    2.5221944E-10    2.0494393E-09    1.4006192E-08    9.8431077E-09
    5.3100000E+00    2.5357318E-10    2.0082338E-09    1.3991832E-08    9.8773865E-09
    5.4900000E+00    2.5485059E-10    1.9690958E-09    1.3978503E-08    9.9096419E-09
    5.6700000E+00    2.5605723E-10    1.9318609E-09    1.3966093E-08    9.9400651E-09
    5.8500000E+00    2.5719813E-10    1.8963830E-09    1.3954505E-08    9.9688233E-09
    6.0300000E+00    2.5827784E-10    1.8625314E-09    1.3943655E-08    9.9960630E-09
    6.2100000E+00    2.5930050E-10    1.8301888E-09    1.3933471E-08    1.0021913E-08
    6.3900000E+00    2.6026986E-10    1.7992497E-09    1.3923888E-08    1.0046488E-08
    6.5700000E+00    2.6118937E-10    1.7696186E-09    1.3914852E-08    1.0069889E-08
    6.7500000E+00    2.6206217E-10    1.7412090E-09    1.3906313E-08    1.0092207E-08
    6.9300000E+00    2.6289114E-10    1.7139424E-09    1.3898227E-08    1.0113523E-08
    7.1100000E+00    2.6367894E-10    1.6877471E-09    1.3890557E-08    1.0133909E-08
    7.2900000E+00    2.6442801E-10    1.6625576E-09    1.3883268E-08    1.0153431E-08
    7.4700000E+00    2.6514061E-10    1.6383141E-09    1.3876330E-08    1.0172148E-08
    7.6500000E+00    2.6581884E-10    1.6149613E-09    1.3869715E-08    1.0190115E-08
    7.8300000E+00    2.6646464E-10    1.5924493E-09    1.3863399E-08    1.0207379E-08
    8.0100000E+00    2.6708145E-10    1.5708775E-09    1.3857332E-08    1.0223939E-08
    8.1900000E+00    4.2878930E-08    2.5281638E-07    2.2151397E-06    1.6367853E-06
    8.3700000E+00    4.3021074E-08    2.5429251E-07    2.2132902E-06    1.6378300E-06
    8.5500000E+00    4.3156946E-08    2.5575460E-07    2.2114556E-06    1.6388701E-06
    8.7300000E+00    4.3286922E-08    2.5720460E-07    2.2095874E-06    1.6399528E-06
    8.9100000E+00    4.3411398E-08    2.5864437E-07    2.2075863E-06    1.6411763E-06
    9.0900000E+00    4.3530801E-08    2.6007601E-07    2.2052876E-06    1.6427038E-06
    9.2700000E+00    4.3645588E-08    2.6150203E-07    2.2024652E-06    1.6447602E-06
    9.4500000E+00    4.3756227E-08    2.6292520E-07    2.1988598E-06    1.6476031E-06
    9.6300000E+00    4.3863164E-08    2.6434834E-07    2.1942287E-06    1.6514734E-06
    9.8100000E+00    4.3966772E-08    2.6577406E-07    2.1884038E-06    1.6565378E-06
    9.9900000E+00    4.4067323E-08    2.6720473E-07    2.1813388E-06    1.6628414E-06
    1.0170000E+01    4.4164970E-08    2.6864291E-07    2.1731321E-06    1.6702843E-06
    1.0350000E+01    4.4259756E-08    2.7009238E-07    2.1640191E-06    1.6786292E-06
    1.0530000E+01    4.4351653E-08    2.7156012E-07    2.1543368E-06    1.6875355E-06
    1.0710000E+01    4.4440613E-08    2.7305909E-07    2.1444714E-06    1.6966108E-06
    1.0890000E+01    4.4526632E-08    2.7461217E-07    2.1348020E-06    1.7054644E-06
    1.1070000E+01    4.4609804E-08    2.7625717E-07    2.1256530E-06    1.7137530E-06
    1.1250000E+01    4.4690375E-08    2.7805279E-07    2.1172616E-06    1.7212100E-06
    1.1430000E+01    4.4768785E-08    2.8008559E-07    2.1097630E-06    1.7276564E-06
    1.1610000E+01    4.4845697E-08    2.8247750E-07    2.1031923E-06    1.7329962E-06
    1.1790000E+01    4.4922022E-08    2.8539341E-07    2.0974959E-06    1.7371998E-06
    1.1970000E+01    4.4998929E-08    2.8904826E-07    2.0925506E-06    1.7402825E-06
    1.2150000E+01    4.5077851E-08    2.9371235E-07    2.0881834E-06    1.7422813E-06
    1.2330000E+01    4.5159682E-08    2.9969544E-07    2.0841954E-06    1.7432399E-06
    1.2510000E+01    2.8178154E-08    1.9025676E-07    1.3009906E-06    1.0898306E-06
    1.2690000E+01    2.8132732E-08    1.9364576E-07    1.2993184E-06    1.0898313E-06
    1.2870000E+01    2.8090214E-08    1.9755366E-07    1.2976339E-06    1.0895830E-06
    1.3050000E+01    2.8050892E-08    2.0205416E-07    1.2959009E-06    1.0890853E-06
    1.3230000E+01    2.8015064E-08    2.0722514E-07    1.2940842E-06    1.0883342E-06
    1.3410000E+01    2.7983038E-08    2.1314754E-07    1.2921517E-06    1.0873214E-06
    1.3590000E+01    2.7955121E-08    2.1990383E-07    1.2900773E-06    1.0860315E-06
    1.3770000E+01    2.7931607E-08    2.2757607E-07    1.2878461E-06    1.0844382E-06
    1.3950000E+01    2.7912764E-08    2.3624340E-07    1.2854618E-06    1.0824981E-06
    1.4130000E+01    2.7898815E-08    2.4597917E-07    1.2829577E-06    1.0801412E-06
    1.4310000E+01    2.7889916E-08    2.5684750E-07    1.2804079E-06    1.0772612E-06
    1.4490000E+01    2.7886136E-08    2.6889947E-07    1.2779386E-06    1.0737063E-06
    1.4670000E+01    2.7887434E-08    2.8216915E-07    1.2757353E-06    1.0692740E-06
    1.4850000E+01    2.7893645E-08    2.9666959E-07    1.2740416E-06    1.0637143E-06
    1.5030000E+01    2.7904476E-08    3.1238915E-07    1.2731486E-06    1.0567420E-06
    1.5210000E+01    2.7919509E-08    3.2928861E-07    1.2733726E-06    1.0480606E-06
    1.5390000E+01    2.7938218E-08    3.4729936E-07    1.2750243E-06    1.0373941E-06
    1.5570000E+01    2.7959988E-08    3.6632292E-07    1.2783729E-06    1.0245228E-06
    1.5750000E+01    2.7984151E-08    3.8623223E-07    1.2836111E-06    1.0093178E-06
    1.5930000E+01    2.8010011E-08    4.0687446E-07    1.2908282E-06    9.9176655E-07
    1.6110000E+01    2.8036875E-08    4.2807538E-07    1.2999947E-06    9.7198613E-07
    1.6290000E+01    2.8064073E-08    4.4964499E-07    1.3109608E-06    9.5022160E-07
    1.6470000E+01    2.8090974E-08    4.7138386E-07    1.3234694E-06    9.2683002E-07
    1.6650000E+01    2.8116995E-08    4.9308983E-07    1.3371803E-06    9.0225318E-07
    1.6830000E+01    2.8141604E-08    5.1456454E-07    1.3517002E-06    8.7698360E-07
    1.7010000E+01    2.8164323E-08    5.3561930E-07    1.3666164E-06    8.5152860E-07
    1.7190000E+01    2.8184720E-08    5.5607997E-07    1.3815277E-06    8.2637685E-07
    1.7370000E+01    2.8202413E-08    5.7579076E-07    1.3960696E-06    8.0197070E-07
    1.7550000E+01    2.8217059E-08    5.9461658E-07    1.4099341E-06    7.7868603E-07
    1.7730000E+01    2.8228360E-08    6.1244387E-07    1.4228802E-06    7.5682068E-07
    1.7910000E+01    2.8236053E-08    6.2911343E-07    1.4346941E-06    7.3666827E-07
