# Time          5.0000E+01
# Units: Mol/kgw
    Distance           H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer       
    9.0000000E-02   -3.1954984E-04    1.0000000E-04    2.1695278E-05    1.3430986E-05    1.1829046E-05    3.6032461E-07    3.6008710E-05    1.4927776E-03    3.4344047E-04    3.5589403E-07    6.3433568E-08    1.7010726E-11    1.0000000E-14    1.0000000E-14    8.7956187E-06    1.0000000E-14    5.3616049E-04    1.0000000E-30
    2.7000000E-01   -3.7947928E-04    1.0000000E-04    3.6601968E-05    2.3980516E-05    2.2731053E-05    1.3225637E-07    6.4198536E-05    1.5270183E-03    3.4339024E-04    3.5588859E-07    5.7935059E-08    8.9775420E-12    1.0000000E-14    1.0000000E-14    1.5654069E-05    1.0000000E-14    5.3935338E-04    1.0000000E-30
    4.5000000E-01   -4.3473412E-04    1.0000000E-04    4.9441661E-05    3.3021263E-05    3.5826550E-05    6.9418115E-08    8.6891995E-05    1.5579619E-03    3.4334050E-04    3.5588373E-07    4.5888849E-08    6.6708167E-12    1.0000000E-14    1.0000000E-14    2.1379458E-05    1.0000000E-14    5.4254626E-04    1.0000000E-30
    6.3000000E-01   -4.8606629E-04    1.0000000E-04    6.0760046E-05    4.1177110E-05    4.9479016E-05    4.3251344E-08    1.0529617E-04    1.5862172E-03    3.4329109E-04    3.5587928E-07    3.5687057E-08    5.1967528E-12    1.0000000E-14    1.0000000E-14    2.6453724E-05    1.0000000E-14    5.4573914E-04    1.0000000E-30
    8.1000000E-01   -5.3416846E-04    1.0000000E-04    7.0902212E-05    4.8849336E-05    6.2720924E-05    2.9786929E-08    1.2029411E-04    1.6122886E-03    3.4324191E-04    3.5587514E-07    2.8426556E-08    4.1873582E-12    1.0000000E-14    1.0000000E-14    3.1168004E-05    1.0000000E-14    5.4893203E-04    1.0000000E-30
    9.9000000E-01   -5.7959765E-04    1.0000000E-04    8.0102658E-05    5.6249126E-05    7.5170332E-05    2.1966602E-08    1.3259514E-04    1.6365723E-03    3.4319288E-04    3.5587124E-07    2.3328302E-08    3.4595296E-12    1.0000000E-14    1.0000000E-14    3.5674713E-05    1.0000000E-14    5.5212492E-04    1.0000000E-30
    1.1700000E+00   -6.2275843E-04    1.0000000E-04    8.8529629E-05    6.3474311E-05    8.6731994E-05    1.7012472E-08    1.4269259E-04    1.6593436E-03    3.4314396E-04    3.5586753E-07    1.9617910E-08    2.9137422E-12    1.0000000E-14    1.0000000E-14    4.0046743E-05    1.0000000E-14    5.5531781E-04    1.0000000E-30
    1.3500000E+00   -6.6396263E-04    1.0000000E-04    9.6308193E-05    7.0565002E-05    9.7452884E-05    1.3678990E-08    1.5096226E-04    1.6808068E-03    3.4309514E-04    3.5586399E-07    1.6804223E-08    2.4916296E-12    1.0000000E-14    1.0000000E-14    4.4316238E-05    1.0000000E-14    5.5851070E-04    1.0000000E-30
    1.5300000E+00   -7.0345703E-04    1.0000000E-04    1.0353387E-04    7.7536730E-05    1.0742718E-04    1.1332752E-08    1.5770123E-04    1.7011172E-03    3.4304638E-04    3.5586058E-07    1.4597163E-08    2.1569245E-12    1.0000000E-14    1.0000000E-14    4.8497451E-05    1.0000000E-14    5.6170380E-04    1.0000000E-30
    1.7100000E+00   -7.4143996E-04    1.0000000E-04    1.1028153E-04    8.4395997E-05    1.1675218E-04    9.6221207E-09    1.6314847E-04    1.7203934E-03    3.4299767E-04    3.5585730E-07    1.2820009E-08    1.8860180E-12    1.0000000E-14    1.0000000E-14    5.2597661E-05    1.0000000E-14    5.6491650E-04    1.0000000E-30
    1.8900000E+00   -7.7809094E-04    1.0000000E-04    1.1663730E-04    9.1158895E-05    1.2542025E-04    8.3366329E-09    1.6754342E-04    1.7387440E-03    3.4294899E-04    3.5585412E-07    1.1357684E-08    1.6628735E-12    1.0000000E-14    1.0000000E-14    5.6651728E-05    1.0000000E-14    5.7004548E-04    1.0000000E-30
    2.0700000E+00   -8.1520469E-04    1.0000000E-04    1.2523890E-04    9.8814767E-05    1.2427590E-04    8.8543344E-09    1.7571376E-04    1.7580112E-03    3.4290018E-04    3.5585056E-07    8.8974819E-09    1.4705295E-12    1.0000000E-14    1.0000000E-14    6.3825787E-05    1.0000000E-14    7.6162890E-04    1.0000000E-30
