# Time          5.0000E+01
# Units: Bars
    Distance        CO2(g)           O2(g)            CH4(g)          
    1.5390000E+01    1.0640015E-02    2.0581073E-01    1.9003156E-04
    1.5570000E+01    1.0534494E-02    2.0578433E-01    1.9003162E-04
    1.5750000E+01    1.0432020E-02    2.0575975E-01    1.9003169E-04
    1.5930000E+01    1.0332929E-02    2.0573701E-01    1.9003174E-04
    1.6110000E+01    1.0237610E-02    2.0571612E-01    1.9003180E-04
    1.6290000E+01    1.0146519E-02    2.0569708E-01    1.9003185E-04
    1.6470000E+01    1.0060182E-02    2.0567991E-01    1.9003189E-04
    1.6650000E+01    9.9792120E-03    2.0566461E-01    1.9003193E-04
    1.6830000E+01    9.9043210E-03    2.0565119E-01    1.9003197E-04
    1.7010000E+01    9.8363358E-03    2.0563966E-01    1.9003200E-04
    1.7190000E+01    9.7762167E-03    2.0563002E-01    1.9003203E-04
    1.7370000E+01    9.7250791E-03    2.0562230E-01    1.9003205E-04
    1.7550000E+01    9.6842182E-03    2.0561649E-01    1.9003207E-04
    1.7730000E+01    9.6551379E-03    2.0561261E-01    1.9003208E-04
    1.7910000E+01    9.6395839E-03    2.0561067E-01    1.9003208E-04
