# Time          5.0000E+01
# Units: Mol/g solid
    Distance        NaXEel           KXEel            CaXEel           MgXEel          
    9.0000000E-02    3.1029333E-08    3.2321180E-07    6.2858709E-06    3.5388604E-06
    2.7000000E-01    3.5062962E-08    2.7009794E-07    6.2502020E-06    3.6016435E-06
    4.5000000E-01    3.8886978E-08    2.6812965E-07    6.2487465E-06    3.6020515E-06
    6.3000000E-01    4.2352627E-08    2.9151572E-07    6.2454082E-06    3.5918023E-06
    8.1000000E-01    4.5523612E-08    3.3229479E-07    6.2374604E-06    3.5775757E-06
    9.9000000E-01    4.8454616E-08    3.8573681E-07    6.2256385E-06    3.5610077E-06
    1.1700000E+00    5.1175869E-08    4.4777976E-07    6.2110698E-06    3.5429973E-06
    1.3500000E+00    5.3700916E-08    5.1468614E-07    6.1948725E-06    3.5242909E-06
    1.5300000E+00    5.6035868E-08    5.8323721E-07    6.1780240E-06    3.5055180E-06
    1.7100000E+00    5.8185995E-08    6.5094761E-07    6.1612836E-06    3.4871590E-06
    1.8900000E+00    6.0159042E-08    7.1612243E-07    6.1451632E-06    3.4695454E-06
    2.0700000E+00    1.5642781E-10    1.7077110E-09    1.5167836E-08    8.9087482E-09
    2.2500000E+00    1.6188784E-10    1.6357211E-09    1.5007816E-08    9.1014480E-09
    2.4300000E+00    1.6687736E-10    1.5722091E-09    1.4875115E-08    9.2629059E-09
    2.6100000E+00    1.7146399E-10    1.5154973E-09    1.4763448E-08    9.4001700E-09
    2.7900000E+00    1.7570194E-10    1.4643409E-09    1.4668324E-08    9.5183222E-09
    2.9700000E+00    1.7963526E-10    1.4177945E-09    1.4586439E-08    9.6211143E-09
    3.1500000E+00    1.8330021E-10    1.3751258E-09    1.4515307E-08    9.7113768E-09
    3.3300000E+00    1.8672699E-10    1.3357579E-09    1.4453024E-08    9.7912856E-09
    3.5100000E+00    1.8994105E-10    1.2992301E-09    1.4398105E-08    9.8625413E-09
    3.6900000E+00    1.9296403E-10    1.2651690E-09    1.4349376E-08    9.9264920E-09
    3.8700000E+00    1.9581447E-10    1.2332687E-09    1.4305895E-08    9.9842204E-09
    4.0500000E+00    1.9850837E-10    1.2032763E-09    1.4266900E-08    1.0036606E-08
    4.2300000E+00    2.0105964E-10    1.1749871E-09    1.4231766E-08    1.0084368E-08
    4.4100000E+00    2.0348042E-10    1.1482567E-09    1.4199970E-08    1.0128093E-08
    4.5900000E+00    2.0578142E-10    1.1229275E-09    1.4171084E-08    1.0168283E-08
    4.7700000E+00    2.0797211E-10    1.0988647E-09    1.4144748E-08    1.0205358E-08
    4.9500000E+00    2.1006091E-10    1.0759519E-09    1.4120658E-08    1.0239676E-08
    5.1300000E+00    2.1205534E-10    1.0540878E-09    1.4098554E-08    1.0271542E-08
    5.3100000E+00    2.1396214E-10    1.0331843E-09    1.4078215E-08    1.0301218E-08
    5.4900000E+00    2.1578737E-10    1.0131638E-09    1.4059450E-08    1.0328930E-08
    5.6700000E+00    2.1753648E-10    9.9395782E-10    1.4042093E-08    1.0354873E-08
    5.8500000E+00    2.1921444E-10    9.7550571E-10    1.4026002E-08    1.0379218E-08
    6.0300000E+00    2.2082575E-10    9.5775340E-10    1.4011049E-08    1.0402116E-08
    6.2100000E+00    2.2237449E-10    9.4065254E-10    1.3997126E-08    1.0423697E-08
    6.3900000E+00    2.2386442E-10    9.2415971E-10    1.3984136E-08    1.0444079E-08
    6.5700000E+00    2.2529895E-10    9.0823577E-10    1.3971992E-08    1.0463363E-08
    6.7500000E+00    2.2668125E-10    8.9284533E-10    1.3960620E-08    1.0481641E-08
    6.9300000E+00    2.2801421E-10    8.7795627E-10    1.3949952E-08    1.0498995E-08
    7.1100000E+00    2.2930049E-10    8.6353934E-10    1.3939927E-08    1.0515498E-08
    7.2900000E+00    2.3054257E-10    8.4956786E-10    1.3930493E-08    1.0531215E-08
    7.4700000E+00    2.3174273E-10    8.3601739E-10    1.3921600E-08    1.0546205E-08
    7.6500000E+00    2.3290309E-10    8.2286548E-10    1.3913206E-08    1.0560522E-08
    7.8300000E+00    2.3402562E-10    8.1009151E-10    1.3905272E-08    1.0574213E-08
    8.0100000E+00    2.3511218E-10    7.9767825E-10    1.3897761E-08    1.0587322E-08
    8.1900000E+00    3.7846311E-08    1.2889670E-07    2.2211985E-06    1.6953779E-06
    8.3700000E+00    3.8070007E-08    1.3013256E-07    2.2189284E-06    1.6969036E-06
    8.5500000E+00    3.8286828E-08    1.3133265E-07    2.2166917E-06    1.6984182E-06
    8.7300000E+00    3.8497087E-08    1.3249940E-07    2.2144947E-06    1.6999140E-06
    8.9100000E+00    3.8701074E-08    1.3363412E-07    2.2123382E-06    1.7013891E-06
    9.0900000E+00    3.8899065E-08    1.3473771E-07    2.2102169E-06    1.7028484E-06
    9.2700000E+00    3.9091324E-08    1.3581099E-07    2.2081167E-06    1.7043052E-06
    9.4500000E+00    3.9278111E-08    1.3685477E-07    2.2060130E-06    1.7057837E-06
    9.6300000E+00    3.9459681E-08    1.3786991E-07    2.2038690E-06    1.7073200E-06
    9.8100000E+00    3.9636288E-08    1.3885735E-07    2.2016362E-06    1.7089619E-06
    9.9900000E+00    3.9808180E-08    1.3981808E-07    2.1992579E-06    1.7107655E-06
    1.0170000E+01    3.9975600E-08    1.4075309E-07    2.1966748E-06    1.7127896E-06
    1.0350000E+01    4.0138782E-08    1.4166340E-07    2.1938325E-06    1.7150877E-06
    1.0530000E+01    4.0297939E-08    1.4254999E-07    2.1906899E-06    1.7177005E-06
    1.0710000E+01    4.0453267E-08    1.4341373E-07    2.1872262E-06    1.7206482E-06
    1.0890000E+01    4.0604938E-08    1.4425544E-07    2.1834458E-06    1.7239258E-06
    1.1070000E+01    4.0753098E-08    1.4507579E-07    2.1793794E-06    1.7275022E-06
    1.1250000E+01    4.0897873E-08    1.4587535E-07    2.1750824E-06    1.7313216E-06
    1.1430000E+01    4.1039372E-08    1.4665458E-07    2.1706298E-06    1.7353088E-06
    1.1610000E+01    4.1177689E-08    1.4741385E-07    2.1661089E-06    1.7393761E-06
    1.1790000E+01    4.1312916E-08    1.4815346E-07    2.1616120E-06    1.7434311E-06
    1.1970000E+01    4.1445148E-08    1.4887366E-07    2.1572282E-06    1.7473845E-06
    1.2150000E+01    4.1574485E-08    1.4957468E-07    2.1530373E-06    1.7511564E-06
    1.2330000E+01    4.1701025E-08    1.5025671E-07    2.1491047E-06    1.7546810E-06
    1.2510000E+01    2.6010131E-08    9.4343518E-08    1.3416250E-06    1.0982639E-06
    1.2690000E+01    2.5955610E-08    9.4764127E-08    1.3400272E-06    1.0996788E-06
    1.2870000E+01    2.5901782E-08    9.5179402E-08    1.3385167E-06    1.1010081E-06
    1.3050000E+01    2.5848635E-08    9.5589456E-08    1.3370969E-06    1.1022491E-06
    1.3230000E+01    2.5796150E-08    9.5994380E-08    1.3357690E-06    1.1034005E-06
    1.3410000E+01    2.5744310E-08    9.6394270E-08    1.3345328E-06    1.1044623E-06
    1.3590000E+01    2.5693102E-08    9.6789226E-08    1.3333868E-06    1.1054361E-06
    1.3770000E+01    2.5642510E-08    9.7179352E-08    1.3323283E-06    1.1063246E-06
    1.3950000E+01    2.5592523E-08    9.7564752E-08    1.3313537E-06    1.1071312E-06
    1.4130000E+01    2.5543129E-08    9.7945534E-08    1.3304590E-06    1.1078600E-06
    1.4310000E+01    2.5494317E-08    9.8321804E-08    1.3296398E-06    1.1085152E-06
    1.4490000E+01    2.5446077E-08    9.8693667E-08    1.3288924E-06    1.1091005E-06
    1.4670000E+01    2.5398396E-08    9.9061225E-08    1.3282144E-06    1.1096184E-06
    1.4850000E+01    2.5351262E-08    9.9424570E-08    1.3276053E-06    1.1100691E-06
    1.5030000E+01    2.5304661E-08    9.9783783E-08    1.3270686E-06    1.1104492E-06
    1.5210000E+01    2.5258573E-08    1.0013892E-07    1.3266131E-06    1.1107500E-06
    1.5390000E+01    2.5212977E-08    1.0049003E-07    1.3262546E-06    1.1109556E-06
    1.5570000E+01    2.5167843E-08    1.0083710E-07    1.3260179E-06    1.1110410E-06
    1.5750000E+01    2.5123134E-08    1.0118010E-07    1.3259390E-06    1.1109706E-06
    1.5930000E+01    2.5078807E-08    1.0151895E-07    1.3260659E-06    1.1106962E-06
    1.6110000E+01    2.5034809E-08    1.0185350E-07    1.3264597E-06    1.1101569E-06
    1.6290000E+01    2.4991077E-08    1.0218360E-07    1.3271941E-06    1.1092792E-06
    1.6470000E+01    2.4947543E-08    1.0250902E-07    1.3283541E-06    1.1079781E-06
    1.6650000E+01    2.4904134E-08    1.0282951E-07    1.3300333E-06    1.1061602E-06
    1.6830000E+01    2.4860771E-08    1.0314482E-07    1.3323303E-06    1.1037271E-06
    1.7010000E+01    2.4817380E-08    1.0345472E-07    1.3353436E-06    1.1005803E-06
    1.7190000E+01    2.4773887E-08    1.0375899E-07    1.3391667E-06    1.0966267E-06
    1.7370000E+01    2.4730229E-08    1.0405750E-07    1.3438818E-06    1.0917841E-06
    1.7550000E+01    2.4686356E-08    1.0435021E-07    1.3495551E-06    1.0859863E-06
    1.7730000E+01    2.4642229E-08    1.0463719E-07    1.3562317E-06    1.0791881E-06
    1.7910000E+01    2.4597834E-08    1.0491863E-07    1.3639315E-06    1.0713698E-06
