# Time          5.0000E+01
# Units: Bars
    Distance        CO2(g)           O2(g)            CH4(g)          
    1.5390000E+01    5.9581199E-02    1.2150427E-01    1.9002025E-04
    1.5570000E+01    5.9514766E-02    1.2211924E-01    1.9002030E-04
    1.5750000E+01    5.9450523E-02    1.2268600E-01    1.9002034E-04
    1.5930000E+01    5.9388696E-02    1.2320537E-01    1.9002037E-04
    1.6110000E+01    5.9329542E-02    1.2367816E-01    1.9002041E-04
    1.6290000E+01    5.9273349E-02    1.2410515E-01    1.9002044E-04
    1.6470000E+01    5.9220440E-02    1.2448712E-01    1.9002047E-04
    1.6650000E+01    5.9171181E-02    1.2482479E-01    1.9002049E-04
    1.6830000E+01    5.9125983E-02    1.2511883E-01    1.9002051E-04
    1.7010000E+01    5.9085309E-02    1.2536982E-01    1.9002053E-04
    1.7190000E+01    5.9049680E-02    1.2557830E-01    1.9002054E-04
    1.7370000E+01    5.9019682E-02    1.2574468E-01    1.9002056E-04
    1.7550000E+01    5.8995974E-02    1.2586927E-01    1.9002057E-04
    1.7730000E+01    5.8979300E-02    1.2595229E-01    1.9002057E-04
    1.7910000E+01    5.8970493E-02    1.2599382E-01    1.9002058E-04
