# Time          5.0000E+01
    Distance         pH
  9.0000E-02    5.8106E+00
  2.7000E-01    5.8493E+00
  4.5000E-01    5.8835E+00
  6.3000E-01    5.9123E+00
  8.1000E-01    5.9361E+00
  9.9000E-01    5.9555E+00
  1.1700E+00    5.9712E+00
  1.3500E+00    5.9833E+00
  1.5300E+00    5.9922E+00
  1.7100E+00    5.9980E+00
  1.8900E+00    6.0010E+00
  2.0700E+00    6.0028E+00
  2.2500E+00    6.0042E+00
  2.4300E+00    6.0054E+00
  2.6100E+00    6.0064E+00
  2.7900E+00    6.0073E+00
  2.9700E+00    6.0082E+00
  3.1500E+00    6.0089E+00
  3.3300E+00    6.0096E+00
  3.5100E+00    6.0103E+00
  3.6900E+00    6.0110E+00
  3.8700E+00    6.0117E+00
  4.0500E+00    6.0124E+00
  4.2300E+00    6.0131E+00
  4.4100E+00    6.0139E+00
  4.5900E+00    6.0147E+00
  4.7700E+00    6.0156E+00
  4.9500E+00    6.0166E+00
  5.1300E+00    6.0177E+00
  5.3100E+00    6.0189E+00
  5.4900E+00    6.0202E+00
  5.6700E+00    6.0217E+00
  5.8500E+00    6.0234E+00
  6.0300E+00    6.0253E+00
  6.2100E+00    6.0274E+00
  6.3900E+00    6.0298E+00
  6.5700E+00    6.0325E+00
  6.7500E+00    6.0355E+00
  6.9300E+00    6.0389E+00
  7.1100E+00    6.0427E+00
  7.2900E+00    6.0470E+00
  7.4700E+00    6.0519E+00
  7.6500E+00    6.0574E+00
  7.8300E+00    6.0637E+00
  8.0100E+00    6.0708E+00
  8.1900E+00    6.0790E+00
  8.3700E+00    6.0873E+00
  8.5500E+00    6.0955E+00
  8.7300E+00    6.1035E+00
  8.9100E+00    6.1113E+00
  9.0900E+00    6.1190E+00
  9.2700E+00    6.1265E+00
  9.4500E+00    6.1338E+00
  9.6300E+00    6.1409E+00
  9.8100E+00    6.1479E+00
  9.9900E+00    6.1547E+00
  1.0170E+01    6.1614E+00
  1.0350E+01    6.1680E+00
  1.0530E+01    6.1744E+00
  1.0710E+01    6.1807E+00
  1.0890E+01    6.1868E+00
  1.1070E+01    6.1928E+00
  1.1250E+01    6.1986E+00
  1.1430E+01    6.2044E+00
  1.1610E+01    6.2099E+00
  1.1790E+01    6.2154E+00
  1.1970E+01    6.2206E+00
  1.2150E+01    6.2258E+00
  1.2330E+01    6.2308E+00
  1.2510E+01    6.2338E+00
  1.2690E+01    6.2369E+00
  1.2870E+01    6.2399E+00
  1.3050E+01    6.2429E+00
  1.3230E+01    6.2458E+00
  1.3410E+01    6.2487E+00
  1.3590E+01    6.2516E+00
  1.3770E+01    6.2545E+00
  1.3950E+01    6.2574E+00
  1.4130E+01    6.2602E+00
  1.4310E+01    6.2630E+00
  1.4490E+01    6.2658E+00
  1.4670E+01    6.2685E+00
  1.4850E+01    6.2712E+00
  1.5030E+01    6.2739E+00
  1.5210E+01    6.2766E+00
  1.5390E+01    6.2792E+00
  1.5570E+01    6.2818E+00
  1.5750E+01    6.2844E+00
  1.5930E+01    6.2869E+00
  1.6110E+01    6.2894E+00
  1.6290E+01    6.2919E+00
  1.6470E+01    6.2943E+00
  1.6650E+01    6.2967E+00
  1.6830E+01    6.2990E+00
  1.7010E+01    6.3013E+00
  1.7190E+01    6.3035E+00
  1.7370E+01    6.3057E+00
  1.7550E+01    6.3078E+00
  1.7730E+01    6.3099E+00
  1.7910E+01    6.3119E+00
