# Time series at grid cell:   1   1   1
  Time(yrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E-09                2.88997853325404E-05   7.24994710879279E-05   3.48144666770164E-09   6.81012384032103E-06   4.31999941942958E-05   1.21002363810930E-05   8.78999594436595E-07   5.27999880627392E-09   5.96999116125758E+00   1.59221948945171E-03   3.43460808822412E-04
  2.00000E-09                2.88997816642746E-05   7.24994619410483E-05   3.48289363523589E-09   6.81012198632385E-06   4.31999883885930E-05   1.21002330756835E-05   8.78999188874441E-07   5.27999761254908E-09   5.96999030084469E+00   1.59222030021751E-03   3.43460740635546E-04
  3.00000E-09                2.88997780834641E-05   7.24994529970691E-05   3.48434030631267E-09   6.81012008269723E-06   4.31999825829057E-05   1.21002296749016E-05   8.78998783313089E-07   5.27999641882334E-09   5.96998956420581E+00   1.59222115351938E-03   3.43460672465838E-04
  4.00000E-09                2.88997744522997E-05   7.24994439205461E-05   3.48578697848706E-09   6.81011821030000E-06   4.31999767772247E-05   1.21002263342079E-05   8.78998377752643E-07   5.27999522509792E-09   5.96998891526892E+00   1.59222203916782E-03   3.43460604285658E-04
  5.00000E-09                2.88997707841756E-05   7.24994347466719E-05   3.48723365155055E-09   6.81011636103811E-06   4.31999709715494E-05   1.21002230380157E-05   8.78997972193032E-07   5.27999403137281E-09   5.96998833149326E+00   1.59222294884453E-03   3.43460536097831E-04
  7.00000E-09                2.88997633035782E-05   7.24994160287923E-05   3.49012789663004E-09   6.81011275041871E-06   4.31999593602078E-05   1.21002166147219E-05   8.78997161077158E-07   5.27999164392459E-09   5.96998731596465E+00   1.59222482538354E-03   3.43460399693185E-04
  1.10000E-08                2.88997482812046E-05   7.24993784167626E-05   3.49591340857985E-09   6.81010556974056E-06   4.31999361376401E-05   1.21002038462401E-05   8.78995538855581E-07   5.27998686903011E-09   5.96998554554422E+00   1.59222867223383E-03   3.43460126874606E-04
  1.90000E-08                2.88997181309791E-05   7.24993029058376E-05   3.50748685037617E-09   6.81009127553238E-06   4.31998896927593E-05   1.21001784385037E-05   8.78992294455696E-07   5.27997731926064E-09   5.96998228184308E+00   1.59223646795565E-03   3.43459581233870E-04
  3.50000E-08                2.88996577122995E-05   7.24991515766302E-05   3.53063384048398E-09   6.81006276015959E-06   4.31997968041209E-05   1.21001277635288E-05   8.78985805823271E-07   5.27995821979138E-09   5.96997592197589E+00   1.59225212015720E-03   3.43458490005933E-04
  6.70000E-08                2.88995368020526E-05   7.24988487335951E-05   3.57692824533790E-09   6.81000577474608E-06   4.31996110313169E-05   1.21000265006678E-05   8.78972829226077E-07   5.27992002113165E-09   5.96996325804980E+00   1.59228344079481E-03   3.43456307849252E-04
  1.31000E-07                2.88992949616920E-05   7.24982429979149E-05   3.66951863899907E-09   6.80989182181018E-06   4.31992395035588E-05   1.20998240089064E-05   8.78946878700929E-07   5.27984362492703E-09   5.96993794632337E+00   1.59234606849570E-03   3.43451944788554E-04
  2.59000E-07                2.88988112968563E-05   7.24970315661105E-05   3.85470566583656E-09   6.80966393047324E-06   4.31984965191502E-05   1.20994190515578E-05   8.78894988320467E-07   5.27969083697709E-09   5.96988735263985E+00   1.59247125583129E-03   3.43443223694568E-04
  5.15000E-07                2.88978440468612E-05   7.24946089007422E-05   4.22510241482973E-09   6.80920819698305E-06   4.31970108324273E-05   1.20986092242953E-05   8.78791250182612E-07   5.27938527891324E-09   5.96978628136529E+00   1.59272135730607E-03   3.43425801597165E-04
  1.02700E-06                2.88959098662644E-05   7.24897643646305E-05   4.96596945258310E-09   6.80829692543522E-06   4.31940405686945E-05   1.20969899170645E-05   8.78583943950581E-07   5.27877423412146E-09   5.96958460185752E+00   1.59322046975021E-03   3.43391037587494E-04
  2.05100E-06                2.88920427793389E-05   7.24800784626923E-05   6.44786121327786E-09   6.80647516229411E-06   4.31881043310546E-05   1.20937526886174E-05   8.78170008097311E-07   5.27755242981432E-09   5.96918308520611E+00   1.59421435120683E-03   3.43321828895681E-04
  4.09900E-06                2.88843136811094E-05   7.24607192869198E-05   9.41121647874652E-09   6.80283474459506E-06   4.31762478289583E-05   1.20872837558059E-05   8.77344814712899E-07   5.27510996176867E-09   5.96838734380743E+00   1.59618488775743E-03   3.43184677621947E-04
  8.19500E-06                2.88688756380909E-05   7.24220510804508E-05   1.53278063949973E-08   6.79556626444028E-06   4.31525899117225E-05   1.20743678458924E-05   8.75704922327202E-07   5.27022958365951E-09   5.96682442297844E+00   1.60005821340292E-03   3.42915351543100E-04
  1.63870E-05                2.88380789185265E-05   7.23449121669080E-05   2.70590552736180E-08   6.78107806776033E-06   4.31054267704133E-05   1.20486226802312E-05   8.72465455471751E-07   5.26048702509626E-09   5.96380818995424E+00   1.60754280991922E-03   3.42395926593474E-04
  3.27710E-05                2.87767935851965E-05   7.21914012056161E-05   4.97000174952527E-08   6.75229177700854E-06   4.30112562307402E-05   1.19974701615914E-05   8.66135827396126E-07   5.24107442543855E-09   5.95818015966866E+00   1.62153042438451E-03   3.41428928507830E-04
  6.55390E-05                2.86553907734177E-05   7.18872870666291E-05   8.97881020371744E-08   6.69544511048518E-06   4.28213460490718E-05   1.18964550468609E-05   8.53995027711982E-07   5.20253712725488E-09   5.94831241593240E+00   1.64604572287649E-03   3.39747036256882E-04
  1.31075E-04                2.84168675154246E-05   7.12897268962190E-05   1.48128568958139E-07   6.58444320328493E-06   4.24325184618934E-05   1.16992072315975E-05   8.31342128907628E-07   5.12659704499020E-09   5.93278747575691E+00   1.68414956804724E-03   3.37172309677311E-04
  2.62147E-04                2.79549220995368E-05   7.01322549585680E-05   2.13356283193877E-07   6.37205905225380E-06   4.16462202002584E-05   1.13218047364020E-05   7.90549064058396E-07   4.97912224260592E-09   5.91222709043030E+00   1.73169446794262E-03   3.34055548121701E-04
  5.24291E-04                2.70823709753747E-05   6.79454440679915E-05   2.75194302894434E-07   5.98028163546930E-06   4.01388807259232E-05   1.06256236029496E-05   7.20281591369607E-07   4.70079328251726E-09   5.89066861398841E+00   1.77051493827349E-03   3.31659698020854E-04
  1.04858E-03                2.55081810288936E-05   6.39988840942320E-05   3.36996726469729E-07   5.30470797923236E-06   3.74662152893961E-05   9.42514957460922E-06   6.07694713352334E-07   4.20347763138189E-09   5.87224510111274E+00   1.77651171813938E-03   3.31340596837188E-04
  2.09715E-03                2.29079157996792E-05   5.74767278462085E-05   4.19375504423783E-07   4.27711781741289E-06   3.32649037144693E-05   7.59918408823640E-06   4.51015317901774E-07   3.40023155306770E-09   5.85487160876140E+00   1.74456351558470E-03   3.32823610194223E-04
  4.19431E-03                1.92604500580484E-05   4.83208588080220E-05   5.60440597444799E-07   3.02141850503105E-06   2.78950406906792E-05   5.36794830794349E-06   2.79835169461090E-07   2.31125624062649E-09   5.83263311015992E+00   1.69397638683379E-03   3.34599456115285E-04
  8.15607E-03                1.54923209587896E-05   3.88502944357078E-05   7.66808185620457E-07   1.95200081193209E-06   2.30938155916498E-05   3.46777784097761E-06   1.50324881762954E-07   1.22518188758418E-09   5.80803453192408E+00   1.64852481227548E-03   3.35822510848055E-04
