# Time          5.0000E+01
# Units: Bars
    Distance        CO2(g)           O2(g)            CH4(g)          
    1.5390000E+01    2.4312240E-02    2.0919276E-01    1.9000971E-04
    1.5570000E+01    2.4257886E-02    2.0918809E-01    1.9000973E-04
    1.5750000E+01    2.4206075E-02    2.0918375E-01    1.9000975E-04
    1.5930000E+01    2.4156958E-02    2.0917974E-01    1.9000976E-04
    1.6110000E+01    2.4110701E-02    2.0917606E-01    1.9000977E-04
    1.6290000E+01    2.4067479E-02    2.0917271E-01    1.9000978E-04
    1.6470000E+01    2.4027480E-02    2.0916969E-01    1.9000979E-04
    1.6650000E+01    2.3990905E-02    2.0916701E-01    1.9000980E-04
    1.6830000E+01    2.3957970E-02    2.0916466E-01    1.9000981E-04
    1.7010000E+01    2.3928905E-02    2.0916264E-01    1.9000982E-04
    1.7190000E+01    2.3903959E-02    2.0916095E-01    1.9000982E-04
    1.7370000E+01    2.3883394E-02    2.0915960E-01    1.9000983E-04
    1.7550000E+01    2.3867494E-02    2.0915859E-01    1.9000983E-04
    1.7730000E+01    2.3856563E-02    2.0915792E-01    1.9000983E-04
    1.7910000E+01    2.3850923E-02    2.0915758E-01    1.9000983E-04
