# Time          5.0000E+01
# Units:           Transport Porosity  Mineral Porosity
    9.0000000E-02    1.0003848E-01    1.0003848E-01
    2.7000000E-01    1.0045371E-01    1.0045371E-01
    4.5000000E-01    1.0042727E-01    1.0042727E-01
    6.3000000E-01    1.0042790E-01    1.0042790E-01
    8.1000000E-01    1.0042458E-01    1.0042458E-01
    9.9000000E-01    1.0041680E-01    1.0041680E-01
    1.1700000E+00    1.0040700E-01    1.0040700E-01
    1.3500000E+00    1.0039661E-01    1.0039661E-01
    1.5300000E+00    1.0038636E-01    1.0038636E-01
    1.7100000E+00    1.0037669E-01    1.0037669E-01
    1.8900000E+00    1.0036796E-01    1.0036796E-01
    2.0700000E+00    1.0147482E-01    1.0147482E-01
    2.2500000E+00    1.0145652E-01    1.0145652E-01
    2.4300000E+00    1.0144465E-01    1.0144465E-01
    2.6100000E+00    1.0143328E-01    1.0143328E-01
    2.7900000E+00    1.0142217E-01    1.0142217E-01
    2.9700000E+00    1.0141134E-01    1.0141134E-01
    3.1500000E+00    1.0140078E-01    1.0140078E-01
    3.3300000E+00    1.0139050E-01    1.0139050E-01
    3.5100000E+00    1.0138049E-01    1.0138049E-01
    3.6900000E+00    1.0137074E-01    1.0137074E-01
    3.8700000E+00    1.0136127E-01    1.0136127E-01
    4.0500000E+00    1.0135208E-01    1.0135208E-01
    4.2300000E+00    1.0134314E-01    1.0134314E-01
    4.4100000E+00    1.0133445E-01    1.0133445E-01
    4.5900000E+00    1.0132601E-01    1.0132601E-01
    4.7700000E+00    1.0131780E-01    1.0131780E-01
    4.9500000E+00    1.0130982E-01    1.0130982E-01
    5.1300000E+00    1.0130206E-01    1.0130206E-01
    5.3100000E+00    1.0129451E-01    1.0129451E-01
    5.4900000E+00    1.0128717E-01    1.0128717E-01
    5.6700000E+00    1.0128002E-01    1.0128002E-01
    5.8500000E+00    1.0127306E-01    1.0127306E-01
    6.0300000E+00    1.0126628E-01    1.0126628E-01
    6.2100000E+00    1.0125968E-01    1.0125968E-01
    6.3900000E+00    1.0125323E-01    1.0125323E-01
    6.5700000E+00    1.0124693E-01    1.0124693E-01
    6.7500000E+00    1.0124076E-01    1.0124076E-01
    6.9300000E+00    1.0123470E-01    1.0123470E-01
    7.1100000E+00    1.0122872E-01    1.0122872E-01
    7.2900000E+00    1.0122278E-01    1.0122278E-01
    7.4700000E+00    1.0121684E-01    1.0121684E-01
