# Time series at grid cell:   1   1   1
  Time(yrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E-09                2.88997807622393E-05   7.24994619978202E-05   3.48492461871427E-09   6.81011310389908E-06   4.31999732530217E-05   1.21002158983247E-05   8.78999026988939E-07   5.27999510989511E-09   5.96999092849264E+00   1.38423790312070E-03   3.43462970572018E-04
  2.00000E-09                2.88997650357114E-05   7.24994226043467E-05   3.48985270867879E-09   6.81010517695431E-06   4.31999465060724E-05   1.21002017725459E-05   8.78998053980584E-07   5.27999021979826E-09   5.96999006303869E+00   1.38423772920130E-03   3.43462958252161E-04
  3.00000E-09                2.88997491019343E-05   7.24993826724556E-05   3.49477732099790E-09   6.81009737764084E-06   4.31999197591847E-05   1.21001878913921E-05   8.78997080973152E-07   5.27998532970102E-09   5.96998952009853E+00   1.38423776474697E-03   3.43462945889458E-04
  4.00000E-09                2.88997330499086E-05   7.24993424365389E-05   3.49970192605463E-09   6.81008965158908E-06   4.31998930123237E-05   1.21001741505816E-05   8.78996107967350E-07   5.27998043960880E-09   5.96998912902383E+00   1.38423790084486E-03   3.43462933502373E-04
  5.00000E-09                2.88997169299576E-05   7.24993020274832E-05   3.50462652407688E-09   6.81008196685027E-06   4.31998662654898E-05   1.21001604889367E-05   8.78995134963059E-07   5.27997554952136E-09   5.96998880932817E+00   1.38423808448252E-03   3.43462921101515E-04
  7.00000E-09                2.88996845699733E-05   7.24992209071187E-05   3.51448608046742E-09   6.81006666968598E-06   4.31998127719329E-05   1.21001333042045E-05   8.78993188961923E-07   5.27996576937177E-09   5.96998825649755E+00   1.38423851034300E-03   3.43462896275905E-04
  1.10000E-08                2.88996198108038E-05   7.24990585643288E-05   3.53422575113007E-09   6.81003609983084E-06   4.31997057852694E-05   1.21000789816259E-05   8.78989296985859E-07   5.27994620915869E-09   5.96998721425732E+00   1.38423940364374E-03   3.43462846617807E-04
  1.90000E-08                2.88994902631225E-05   7.24987338045469E-05   3.57378677437359E-09   6.80997497810659E-06   4.31994918137291E-05   1.20999703709013E-05   8.78981513138383E-07   5.27990708907695E-09   5.96998515448605E+00   1.38424120671776E-03   3.43462747300869E-04
  3.50000E-08                2.88992311570954E-05   7.24980842586154E-05   3.65235697997055E-09   6.80985274545258E-06   4.31990638775551E-05   1.20997531697965E-05   8.78965945722865E-07   5.27982884971064E-09   5.96998103996003E+00   1.38424481578750E-03   3.43462548684972E-04
  6.70000E-08                2.88987129663520E-05   7.24967852196284E-05   3.80993181359571E-09   6.80960828590175E-06   4.31982080333212E-05   1.20993187772347E-05   8.78934812426656E-07   5.27967237590594E-09   5.96997281271542E+00   1.38425203232961E-03   3.43462151537796E-04
