# Time          5.0000E+01
# Units: Mol/kgw/yr
    Distance        CH2O_decomp      FeII_oxidation_a
    9.0000000E-02    4.0041727E-01    6.3229092E-06
    2.7000000E-01    8.8867257E-02    8.3038545E-06
    4.5000000E-01    2.0517899E-02    1.0419929E-05
    6.3000000E-01    5.1899504E-03    1.2496212E-05
    8.1000000E-01    1.6843579E-03    1.4428618E-05
    9.9000000E-01    8.6667665E-04    1.6153699E-05
    1.1700000E+00    6.7195775E-04    1.7630526E-05
    1.3500000E+00    6.2444520E-04    1.8832684E-05
    1.5300000E+00    6.1239251E-04    1.9744128E-05
    1.7100000E+00    6.0902664E-04    2.0356166E-05
    1.8900000E+00    6.1022866E-04    2.0664819E-05
    2.0700000E+00    2.6402773E-02    2.0365404E-05
    2.2500000E+00    3.3333698E-02    2.0020315E-05
    2.4300000E+00    3.5233953E-02    1.9681751E-05
    2.6100000E+00    3.5759790E-02    1.9362955E-05
    2.7900000E+00    3.5900725E-02    1.9065922E-05
    2.9700000E+00    3.5931173E-02    1.8789769E-05
    3.1500000E+00    3.5929200E-02    1.8532986E-05
    3.3300000E+00    3.5917675E-02    1.8294078E-05
    3.5100000E+00    3.5903605E-02    1.8071758E-05
    3.6900000E+00    3.5889345E-02    1.7864998E-05
    3.8700000E+00    3.5875880E-02    1.7673050E-05
    4.0500000E+00    3.5863804E-02    1.7495437E-05
    4.2300000E+00    3.5853620E-02    1.7331956E-05
    4.4100000E+00    3.5845831E-02    1.7182659E-05
    4.5900000E+00    3.5840972E-02    1.7047852E-05
    4.7700000E+00    3.5839613E-02    1.6928153E-05
    4.9500000E+00    3.5842355E-02    1.6824330E-05
    5.1300000E+00    3.5849816E-02    1.6737377E-05
    5.3100000E+00    3.5862624E-02    1.6668517E-05
    5.4900000E+00    3.5881392E-02    1.6619204E-05
    5.6700000E+00    3.5906697E-02    1.6591126E-05
    5.8500000E+00    3.5939055E-02    1.6586212E-05
    6.0300000E+00    3.5978884E-02    1.6606657E-05
    6.2100000E+00    3.6026478E-02    1.6654942E-05
    6.3900000E+00    3.6081970E-02    1.6733889E-05
    6.5700000E+00    3.6145300E-02    1.6846727E-05
    6.7500000E+00    3.6216191E-02    1.6997192E-05
    6.9300000E+00    3.6294125E-02    1.7189677E-05
    7.1100000E+00    3.6378336E-02    1.7429444E-05
    7.2900000E+00    3.6467811E-02    1.7722925E-05
    7.4700000E+00    3.6561311E-02    1.8078168E-05
    7.6500000E+00    3.6657401E-02    1.8505460E-05
    7.8300000E+00    3.6754501E-02    1.9018248E-05
    8.0100000E+00    3.6848054E-02    1.9634540E-05
    8.1900000E+00    1.7333701E-02    2.0544519E-05
    8.3700000E+00    8.2826251E-03    2.1483967E-05
    8.5500000E+00    4.1075981E-03    2.2402006E-05
    8.7300000E+00    2.1958291E-03    2.3272656E-05
    8.9100000E+00    1.3274683E-03    2.4081714E-05
    9.0900000E+00    9.3634581E-04    2.4821279E-05
    9.2700000E+00    7.6166863E-04    2.5487043E-05
    9.4500000E+00    6.8430758E-04    2.6076947E-05
    9.6300000E+00    6.5031674E-04    2.6590510E-05
    9.8100000E+00    6.3548345E-04    2.7028473E-05
    9.9900000E+00    6.2903738E-04    2.7392586E-05
    1.0170000E+01    6.2623073E-04    2.7685459E-05
    1.0350000E+01    6.2498945E-04    2.7910437E-05
    1.0530000E+01    6.2441574E-04    2.8071476E-05
    1.0710000E+01    6.2412449E-04    2.8173018E-05
    1.0890000E+01    6.2395202E-04    2.8219866E-05
    1.1070000E+01    6.2382942E-04    2.8217056E-05
    1.1250000E+01    6.2372795E-04    2.8169727E-05
    1.1430000E+01    6.2363572E-04    2.8082994E-05
    1.1610000E+01    6.2354787E-04    2.7961828E-05
    1.1790000E+01    6.2346245E-04    2.7810935E-05
    1.1970000E+01    6.2337865E-04    2.7634650E-05
    1.2150000E+01    6.2329618E-04    2.7436824E-05
    1.2330000E+01    6.2321531E-04    2.7221323E-05
    1.2510000E+01    6.2650358E-04    2.9286776E-05
    1.2690000E+01    6.2755892E-04    3.1042471E-05
    1.2870000E+01    6.2776080E-04    3.2522224E-05
    1.3050000E+01    6.2765282E-04    3.3760525E-05
    1.3230000E+01    6.2743976E-04    3.4789348E-05
    1.3410000E+01    6.2719746E-04    3.5637925E-05
    1.3590000E+01    6.2695327E-04    3.6332641E-05
    1.3770000E+01    6.2671649E-04    3.6897026E-05
    1.3950000E+01    6.2648986E-04    3.7351831E-05
    1.4130000E+01    6.2627378E-04    3.7715166E-05
    1.4310000E+01    6.2606784E-04    3.8002672E-05
    1.4490000E+01    6.2587142E-04    3.8227730E-05
    1.4670000E+01    6.2568384E-04    3.8401678E-05
    1.4850000E+01    6.2550446E-04    3.8534033E-05
    1.5030000E+01    6.2533269E-04    3.8632710E-05
    1.5210000E+01    6.2516795E-04    3.8704231E-05
    1.5390000E+01    6.2500974E-04    3.8753916E-05
    1.5570000E+01    6.2485756E-04    3.8786059E-05
    1.5750000E+01    6.2471093E-04    3.8804086E-05
    1.5930000E+01    6.2456942E-04    3.8810694E-05
    1.6110000E+01    6.2443257E-04    3.8807967E-05
    1.6290000E+01    6.2429996E-04    3.8797477E-05
    1.6470000E+01    6.2417116E-04    3.8780367E-05
    1.6650000E+01    6.2404573E-04    3.8757418E-05
    1.6830000E+01    6.2392324E-04    3.8729099E-05
    1.7010000E+01    6.2380324E-04    3.8695604E-05
    1.7190000E+01    6.2368530E-04    3.8656876E-05
    1.7370000E+01    6.2356894E-04    3.8612611E-05
    1.7550000E+01    6.2345370E-04    3.8562263E-05
    1.7730000E+01    6.2333909E-04    3.8505013E-05
    1.7910000E+01    6.2322463E-04    3.8439759E-05
