# Time          5.0000E+01
    Distance         pH
  9.0000E-02    5.7748E+00
  2.7000E-01    5.7893E+00
  4.5000E-01    5.8091E+00
  6.3000E-01    5.8291E+00
  8.1000E-01    5.8479E+00
  9.9000E-01    5.8652E+00
  1.1700E+00    5.8808E+00
  1.3500E+00    5.8946E+00
  1.5300E+00    5.9064E+00
  1.7100E+00    5.9161E+00
  1.8900E+00    5.9233E+00
  2.0700E+00    5.9292E+00
  2.2500E+00    5.9340E+00
  2.4300E+00    5.9382E+00
  2.6100E+00    5.9421E+00
  2.7900E+00    5.9456E+00
  2.9700E+00    5.9490E+00
  3.1500E+00    5.9521E+00
  3.3300E+00    5.9550E+00
  3.5100E+00    5.9577E+00
  3.6900E+00    5.9602E+00
  3.8700E+00    5.9625E+00
  4.0500E+00    5.9648E+00
  4.2300E+00    5.9668E+00
  4.4100E+00    5.9688E+00
  4.5900E+00    5.9707E+00
  4.7700E+00    5.9724E+00
  4.9500E+00    5.9741E+00
  5.1300E+00    5.9757E+00
  5.3100E+00    5.9772E+00
  5.4900E+00    5.9786E+00
  5.6700E+00    5.9801E+00
  5.8500E+00    5.9814E+00
  6.0300E+00    5.9828E+00
  6.2100E+00    5.9842E+00
  6.3900E+00    5.9856E+00
  6.5700E+00    5.9871E+00
  6.7500E+00    5.9887E+00
  6.9300E+00    5.9905E+00
  7.1100E+00    5.9925E+00
  7.2900E+00    5.9948E+00
  7.4700E+00    5.9975E+00
  7.6500E+00    6.0007E+00
  7.8300E+00    6.0047E+00
  8.0100E+00    6.0095E+00
  8.1900E+00    6.0158E+00
  8.3700E+00    6.0225E+00
  8.5500E+00    6.0294E+00
  8.7300E+00    6.0362E+00
  8.9100E+00    6.0430E+00
  9.0900E+00    6.0497E+00
  9.2700E+00    6.0562E+00
  9.4500E+00    6.0626E+00
  9.6300E+00    6.0689E+00
  9.8100E+00    6.0750E+00
  9.9900E+00    6.0811E+00
  1.0170E+01    6.0870E+00
  1.0350E+01    6.0928E+00
  1.0530E+01    6.0986E+00
  1.0710E+01    6.1042E+00
  1.0890E+01    6.1097E+00
  1.1070E+01    6.1151E+00
  1.1250E+01    6.1204E+00
  1.1430E+01    6.1256E+00
  1.1610E+01    6.1306E+00
  1.1790E+01    6.1356E+00
  1.1970E+01    6.1404E+00
  1.2150E+01    6.1450E+00
  1.2330E+01    6.1495E+00
  1.2510E+01    6.1521E+00
  1.2690E+01    6.1547E+00
  1.2870E+01    6.1572E+00
  1.3050E+01    6.1598E+00
  1.3230E+01    6.1623E+00
  1.3410E+01    6.1648E+00
  1.3590E+01    6.1673E+00
  1.3770E+01    6.1698E+00
  1.3950E+01    6.1723E+00
  1.4130E+01    6.1747E+00
  1.4310E+01    6.1772E+00
  1.4490E+01    6.1796E+00
  1.4670E+01    6.1820E+00
  1.4850E+01    6.1844E+00
  1.5030E+01    6.1867E+00
  1.5210E+01    6.1891E+00
  1.5390E+01    6.1914E+00
  1.5570E+01    6.1937E+00
  1.5750E+01    6.1960E+00
  1.5930E+01    6.1983E+00
  1.6110E+01    6.2005E+00
  1.6290E+01    6.2028E+00
  1.6470E+01    6.2050E+00
  1.6650E+01    6.2072E+00
  1.6830E+01    6.2093E+00
  1.7010E+01    6.2114E+00
  1.7190E+01    6.2135E+00
  1.7370E+01    6.2156E+00
  1.7550E+01    6.2175E+00
  1.7730E+01    6.2194E+00
  1.7910E+01    6.2213E+00
