# Time          5.0000E+01
    Distance         pH
  9.0000E-02    5.8176E+00
  2.7000E-01    5.8607E+00
  4.5000E-01    5.8997E+00
  6.3000E-01    5.9349E+00
  8.1000E-01    5.9669E+00
  9.9000E-01    5.9963E+00
  1.1700E+00    6.0235E+00
  1.3500E+00    6.0488E+00
  1.5300E+00    6.0725E+00
  1.7100E+00    6.0949E+00
  1.8900E+00    6.1160E+00
  2.0700E+00    6.1373E+00
  2.2500E+00    6.1573E+00
  2.4300E+00    6.1764E+00
  2.6100E+00    6.1945E+00
  2.7900E+00    6.2118E+00
  2.9700E+00    6.2283E+00
  3.1500E+00    6.2443E+00
  3.3300E+00    6.2596E+00
  3.5100E+00    6.2743E+00
  3.6900E+00    6.2886E+00
  3.8700E+00    6.3023E+00
  4.0500E+00    6.3157E+00
  4.2300E+00    6.3287E+00
  4.4100E+00    6.3413E+00
  4.5900E+00    6.3535E+00
  4.7700E+00    6.3654E+00
  4.9500E+00    6.3771E+00
  5.1300E+00    6.3884E+00
  5.3100E+00    6.3995E+00
  5.4900E+00    6.4104E+00
  5.6700E+00    6.4210E+00
  5.8500E+00    6.4314E+00
  6.0300E+00    6.4416E+00
  6.2100E+00    6.4515E+00
  6.3900E+00    6.4613E+00
  6.5700E+00    6.4710E+00
  6.7500E+00    6.4804E+00
  6.9300E+00    6.4897E+00
  7.1100E+00    6.4989E+00
  7.2900E+00    6.5079E+00
  7.4700E+00    6.5167E+00
  7.6500E+00    6.5254E+00
  7.8300E+00    6.5340E+00
  8.0100E+00    6.5425E+00
  8.1900E+00    6.5509E+00
  8.3700E+00    6.5592E+00
  8.5500E+00    6.5674E+00
  8.7300E+00    6.5755E+00
  8.9100E+00    6.5835E+00
  9.0900E+00    6.5913E+00
  9.2700E+00    6.5991E+00
  9.4500E+00    6.6067E+00
  9.6300E+00    6.6143E+00
  9.8100E+00    6.6217E+00
  9.9900E+00    6.6290E+00
  1.0170E+01    6.6362E+00
  1.0350E+01    6.6433E+00
  1.0530E+01    6.6503E+00
  1.0710E+01    6.6571E+00
  1.0890E+01    6.6639E+00
  1.1070E+01    6.6705E+00
  1.1250E+01    6.6769E+00
  1.1430E+01    6.6833E+00
  1.1610E+01    6.6894E+00
  1.1790E+01    6.6954E+00
  1.1970E+01    6.7012E+00
  1.2150E+01    6.7067E+00
  1.2330E+01    6.7121E+00
  1.2510E+01    6.7159E+00
  1.2690E+01    6.7197E+00
  1.2870E+01    6.7234E+00
  1.3050E+01    6.7272E+00
  1.3230E+01    6.7309E+00
  1.3410E+01    6.7346E+00
  1.3590E+01    6.7383E+00
  1.3770E+01    6.7420E+00
  1.3950E+01    6.7456E+00
  1.4130E+01    6.7492E+00
  1.4310E+01    6.7528E+00
  1.4490E+01    6.7564E+00
  1.4670E+01    6.7599E+00
  1.4850E+01    6.7634E+00
  1.5030E+01    6.7668E+00
  1.5210E+01    6.7702E+00
  1.5390E+01    6.7736E+00
  1.5570E+01    6.7769E+00
  1.5750E+01    6.7802E+00
  1.5930E+01    6.7834E+00
  1.6110E+01    6.7865E+00
  1.6290E+01    6.7896E+00
  1.6470E+01    6.7926E+00
  1.6650E+01    6.7955E+00
  1.6830E+01    6.7983E+00
  1.7010E+01    6.8010E+00
  1.7190E+01    6.8035E+00
  1.7370E+01    6.8059E+00
  1.7550E+01    6.8081E+00
  1.7730E+01    6.8101E+00
  1.7910E+01    6.8119E+00
