# Time          5.0000E+01
# Units: Mol/kgw/yr
    Distance        CH2O_decomp      FeII_oxidation_a
    9.0000000E-02    1.8350091E-12    9.3460273E-06
    2.7000000E-01    1.8392810E-12    1.4316012E-05
    4.5000000E-01    1.8435527E-12    1.8767065E-05
    6.3000000E-01    1.8478243E-12    2.2318998E-05
    8.1000000E-01    1.8520958E-12    2.4832530E-05
    9.9000000E-01    1.8563670E-12    2.6368045E-05
    1.1700000E+00    1.8606380E-12    2.7109183E-05
    1.3500000E+00    1.8649086E-12    2.7285509E-05
    1.5300000E+00    1.8691789E-12    2.7113949E-05
    1.7100000E+00    1.8734488E-12    2.6766369E-05
    1.8900000E+00    1.8778881E-12    2.6359877E-05
    2.0700000E+00    2.1407850E-12    2.4394641E-05
    2.2500000E+00    2.4036498E-12    2.3180758E-05
    2.4300000E+00    2.6664823E-12    2.2439032E-05
    2.6100000E+00    2.9292828E-12    2.1979345E-05
    2.7900000E+00    3.1920510E-12    2.1683482E-05
    2.9700000E+00    3.4547870E-12    2.1482105E-05
    3.1500000E+00    3.7174908E-12    2.1336208E-05
    3.3300000E+00    3.9801622E-12    2.1224341E-05
    3.5100000E+00    4.2428013E-12    2.1134696E-05
    3.6900000E+00    4.5054080E-12    2.1060583E-05
    3.8700000E+00    4.7679823E-12    2.0997996E-05
    4.0500000E+00    5.0305240E-12    2.0944362E-05
    4.2300000E+00    5.2930331E-12    2.0897905E-05
    4.4100000E+00    5.5555095E-12    2.0857329E-05
    4.5900000E+00    5.8179533E-12    2.0821644E-05
    4.7700000E+00    6.0803642E-12    2.0790074E-05
    4.9500000E+00    6.3427423E-12    2.0761996E-05
    5.1300000E+00    6.6050875E-12    2.0736906E-05
    5.3100000E+00    6.8673996E-12    2.0714389E-05
    5.4900000E+00    7.1296786E-12    2.0694100E-05
    5.6700000E+00    7.3919245E-12    2.0675752E-05
    5.8500000E+00    7.6541370E-12    2.0659102E-05
    6.0300000E+00    7.9163163E-12    2.0643946E-05
    6.2100000E+00    8.1784621E-12    2.0630107E-05
    6.3900000E+00    8.4405744E-12    2.0617436E-05
    6.5700000E+00    8.7026531E-12    2.0605805E-05
    6.7500000E+00    8.9646981E-12    2.0595100E-05
    6.9300000E+00    9.2267093E-12    2.0585226E-05
    7.1100000E+00    9.4886866E-12    2.0576096E-05
    7.2900000E+00    9.7506300E-12    2.0567638E-05
    7.4700000E+00    1.0012539E-11    2.0559784E-05
    7.6500000E+00    1.0274414E-11    2.0552478E-05
    7.8300000E+00    1.0536255E-11    2.0545668E-05
    8.0100000E+00    1.0797892E-11    2.0539453E-05
    8.1900000E+00    1.0801577E-11    2.2099878E-05
    8.3700000E+00    1.0805256E-11    2.2325415E-05
    8.5500000E+00    1.0808933E-11    2.2352752E-05
    8.7300000E+00    1.0812608E-11    2.2351833E-05
    8.9100000E+00    1.0816282E-11    2.2347233E-05
    9.0900000E+00    1.0819954E-11    2.2342380E-05
    9.2700000E+00    1.0823625E-11    2.2337719E-05
    9.4500000E+00    1.0827293E-11    2.2333290E-05
    9.6300000E+00    1.0830960E-11    2.2329077E-05
    9.8100000E+00    1.0834625E-11    2.2325062E-05
    9.9900000E+00    1.0838288E-11    2.2321226E-05
    1.0170000E+01    1.0841949E-11    2.2317551E-05
    1.0350000E+01    1.0845609E-11    2.2314020E-05
    1.0530000E+01    1.0849266E-11    2.2310615E-05
    1.0710000E+01    1.0852922E-11    2.2307322E-05
    1.0890000E+01    1.0856576E-11    2.2304124E-05
    1.1070000E+01    1.0860228E-11    2.2301005E-05
    1.1250000E+01    1.0863878E-11    2.2297950E-05
    1.1430000E+01    1.0867526E-11    2.2294942E-05
    1.1610000E+01    1.0871172E-11    2.2291965E-05
    1.1790000E+01    1.0874816E-11    2.2289000E-05
    1.1970000E+01    1.0878459E-11    2.2286030E-05
    1.2150000E+01    1.0882099E-11    2.2283034E-05
    1.2330000E+01    1.0885737E-11    2.2281077E-05
    1.2510000E+01    1.0889381E-11    4.3911247E-05
    1.2690000E+01    1.0893041E-11    4.5628282E-05
    1.2870000E+01    1.0896722E-11    4.5760544E-05
    1.3050000E+01    1.0900424E-11    4.5768555E-05
    1.3230000E+01    1.0904148E-11    4.5767014E-05
    1.3410000E+01    1.0907892E-11    4.5764799E-05
    1.3590000E+01    1.0911658E-11    4.5762585E-05
    1.3770000E+01    1.0915446E-11    4.5760419E-05
    1.3950000E+01    1.0919255E-11    4.5758305E-05
    1.4130000E+01    1.0923085E-11    4.5756238E-05
    1.4310000E+01    1.0926938E-11    4.5754216E-05
    1.4490000E+01    1.0930813E-11    4.5752237E-05
    1.4670000E+01    1.0934710E-11    4.5750296E-05
    1.4850000E+01    1.0938629E-11    4.5748390E-05
    1.5030000E+01    1.0942571E-11    4.5746513E-05
    1.5210000E+01    1.0946535E-11    4.5744662E-05
    1.5390000E+01    1.0950522E-11    4.5742830E-05
    1.5570000E+01    1.0954532E-11    4.5741012E-05
    1.5750000E+01    1.0958564E-11    4.5739200E-05
    1.5930000E+01    1.0962620E-11    4.5737386E-05
    1.6110000E+01    1.0966699E-11    4.5735561E-05
    1.6290000E+01    1.0970802E-11    4.5733714E-05
    1.6470000E+01    1.0974928E-11    4.5731834E-05
    1.6650000E+01    1.0979078E-11    4.5729907E-05
    1.6830000E+01    1.0983251E-11    4.5727917E-05
    1.7010000E+01    1.0987449E-11    4.5725846E-05
    1.7190000E+01    1.0991671E-11    4.5723674E-05
    1.7370000E+01    1.0995917E-11    4.5721377E-05
    1.7550000E+01    1.1000187E-11    4.5718927E-05
    1.7730000E+01    1.1004482E-11    4.5716292E-05
    1.7910000E+01    1.1008799E-11    4.5713435E-05
