# Time          5.0000E+01
# Units:           Transport Porosity  Mineral Porosity
    9.0000000E-02    1.0027609E-01    1.0027609E-01
    2.7000000E-01    1.0037726E-01    1.0037726E-01
    4.5000000E-01    1.0034488E-01    1.0034488E-01
    6.3000000E-01    1.0031187E-01    1.0031187E-01
    8.1000000E-01    1.0028114E-01    1.0028114E-01
    9.9000000E-01    1.0025312E-01    1.0025312E-01
    1.1700000E+00    1.0022769E-01    1.0022769E-01
    1.3500000E+00    1.0020468E-01    1.0020468E-01
    1.5300000E+00    1.0018393E-01    1.0018393E-01
    1.7100000E+00    1.0016521E-01    1.0016521E-01
    1.8900000E+00    1.0014830E-01    1.0014830E-01
    2.0700000E+00    1.0115663E-01    1.0115663E-01
    2.2500000E+00    1.0113668E-01    1.0113668E-01
    2.4300000E+00    1.0111968E-01    1.0111968E-01
    2.6100000E+00    1.0110490E-01    1.0110490E-01
    2.7900000E+00    1.0109203E-01    1.0109203E-01
    2.9700000E+00    1.0108079E-01    1.0108079E-01
    3.1500000E+00    1.0107096E-01    1.0107096E-01
    3.3300000E+00    1.0106232E-01    1.0106232E-01
    3.5100000E+00    1.0105473E-01    1.0105473E-01
    3.6900000E+00    1.0104804E-01    1.0104804E-01
    3.8700000E+00    1.0104214E-01    1.0104214E-01
    4.0500000E+00    1.0103693E-01    1.0103693E-01
    4.2300000E+00    1.0103231E-01    1.0103231E-01
    4.4100000E+00    1.0102822E-01    1.0102822E-01
    4.5900000E+00    1.0102460E-01    1.0102460E-01
    4.7700000E+00    1.0102138E-01    1.0102138E-01
    4.9500000E+00    1.0101853E-01    1.0101853E-01
    5.1300000E+00    1.0101600E-01    1.0101600E-01
    5.3100000E+00    1.0101376E-01    1.0101376E-01
    5.4900000E+00    1.0101177E-01    1.0101177E-01
    5.6700000E+00    1.0101002E-01    1.0101002E-01
    5.8500000E+00    1.0100847E-01    1.0100847E-01
    6.0300000E+00    1.0100711E-01    1.0100711E-01
    6.2100000E+00    1.0100591E-01    1.0100591E-01
    6.3900000E+00    1.0100486E-01    1.0100486E-01
    6.5700000E+00    1.0100395E-01    1.0100395E-01
    6.7500000E+00    1.0100316E-01    1.0100316E-01
    6.9300000E+00    1.0100249E-01    1.0100249E-01
    7.1100000E+00    1.0100191E-01    1.0100191E-01
    7.2900000E+00    1.0100143E-01    1.0100143E-01
    7.4700000E+00    1.0100103E-01    1.0100103E-01
    7.6500000E+00    1.0100071E-01    1.0100071E-01
    7.8300000E+00    1.0100045E-01    1.0100045E-01
    8.0100000E+00    1.0100026E-01    1.0100026E-01
    8.1900000E+00    9.9933764E-02    9.9933764E-02
    8.3700000E+00    9.9933522E-02    9.9933522E-02
    8.5500000E+00    9.9933396E-02    9.9933396E-02
    8.7300000E+00    9.9933357E-02    9.9933357E-02
    8.9100000E+00    9.9933391E-02    9.9933391E-02
    9.0900000E+00    9.9933488E-02    9.9933488E-02
    9.2700000E+00    9.9933640E-02    9.9933640E-02
    9.4500000E+00    9.9933841E-02    9.9933841E-02
    9.6300000E+00    9.9934086E-02    9.9934086E-02
    9.8100000E+00    9.9934371E-02    9.9934371E-02
    9.9900000E+00    9.9934691E-02    9.9934691E-02
    1.0170000E+01    9.9935043E-02    9.9935043E-02
    1.0350000E+01    9.9935424E-02    9.9935424E-02
    1.0530000E+01    9.9935829E-02    9.9935829E-02
    1.0710000E+01    9.9936257E-02    9.9936257E-02
    1.0890000E+01    9.9936705E-02    9.9936705E-02
    1.1070000E+01    9.9937169E-02    9.9937169E-02
    1.1250000E+01    9.9937647E-02    9.9937647E-02
    1.1430000E+01    9.9938137E-02    9.9938137E-02
    1.1610000E+01    9.9938636E-02    9.9938636E-02
    1.1790000E+01    9.9939143E-02    9.9939143E-02
    1.1970000E+01    9.9939653E-02    9.9939653E-02
    1.2150000E+01    9.9940165E-02    9.9940165E-02
    1.2330000E+01    9.9940677E-02    9.9940677E-02
    1.2510000E+01    9.9015945E-02    9.9015945E-02
    1.2690000E+01    9.9015999E-02    9.9015999E-02
    1.2870000E+01    9.9015960E-02    9.9015960E-02
    1.3050000E+01    9.9015923E-02    9.9015923E-02
    1.3230000E+01    9.9015888E-02    9.9015888E-02
    1.3410000E+01    9.9015856E-02    9.9015856E-02
    1.3590000E+01    9.9015825E-02    9.9015825E-02
    1.3770000E+01    9.9015796E-02    9.9015796E-02
    1.3950000E+01    9.9015769E-02    9.9015769E-02
    1.4130000E+01    9.9015744E-02    9.9015744E-02
    1.4310000E+01    9.9015722E-02    9.9015722E-02
    1.4490000E+01    9.9015701E-02    9.9015701E-02
    1.4670000E+01    9.9015682E-02    9.9015682E-02
    1.4850000E+01    9.9015664E-02    9.9015664E-02
    1.5030000E+01    9.9015649E-02    9.9015649E-02
    1.5210000E+01    9.9015635E-02    9.9015635E-02
    1.5390000E+01    9.9015623E-02    9.9015623E-02
    1.5570000E+01    9.9015614E-02    9.9015614E-02
    1.5750000E+01    9.9015606E-02    9.9015606E-02
    1.5930000E+01    9.9015600E-02    9.9015600E-02
    1.6110000E+01    9.9015597E-02    9.9015597E-02
    1.6290000E+01    9.9015596E-02    9.9015596E-02
    1.6470000E+01    9.9015598E-02    9.9015598E-02
    1.6650000E+01    9.9015603E-02    9.9015603E-02
    1.6830000E+01    9.9015612E-02    9.9015612E-02
    1.7010000E+01    9.9015624E-02    9.9015624E-02
    1.7190000E+01    9.9015641E-02    9.9015641E-02
    1.7370000E+01    9.9015662E-02    9.9015662E-02
    1.7550000E+01    9.9015687E-02    9.9015687E-02
    1.7730000E+01    9.9015719E-02    9.9015719E-02
    1.7910000E+01    9.9015757E-02    9.9015757E-02
