# Time          5.0000E+01
# Units:           Transport Porosity  Mineral Porosity
    9.0000000E-02    1.0007101E-01    1.0007101E-01
    2.7000000E-01    1.0040835E-01    1.0040835E-01
    4.5000000E-01    1.0039754E-01    1.0039754E-01
    6.3000000E-01    1.0039524E-01    1.0039524E-01
    8.1000000E-01    1.0038683E-01    1.0038683E-01
    9.9000000E-01    1.0037542E-01    1.0037542E-01
    1.1700000E+00    1.0036302E-01    1.0036302E-01
    1.3500000E+00    1.0035045E-01    1.0035045E-01
    1.5300000E+00    1.0033802E-01    1.0033802E-01
    1.7100000E+00    1.0032586E-01    1.0032586E-01
    1.8900000E+00    1.0031401E-01    1.0031401E-01
    2.0700000E+00    1.0139573E-01    1.0139573E-01
    2.2500000E+00    1.0137526E-01    1.0137526E-01
    2.4300000E+00    1.0135903E-01    1.0135903E-01
    2.6100000E+00    1.0134364E-01    1.0134364E-01
    2.7900000E+00    1.0132900E-01    1.0132900E-01
    2.9700000E+00    1.0131509E-01    1.0131509E-01
    3.1500000E+00    1.0130186E-01    1.0130186E-01
    3.3300000E+00    1.0128929E-01    1.0128929E-01
    3.5100000E+00    1.0127734E-01    1.0127734E-01
    3.6900000E+00    1.0126600E-01    1.0126600E-01
    3.8700000E+00    1.0125521E-01    1.0125521E-01
    4.0500000E+00    1.0124496E-01    1.0124496E-01
    4.2300000E+00    1.0123520E-01    1.0123520E-01
    4.4100000E+00    1.0122592E-01    1.0122592E-01
    4.5900000E+00    1.0121708E-01    1.0121708E-01
    4.7700000E+00    1.0120866E-01    1.0120866E-01
    4.9500000E+00    1.0120064E-01    1.0120064E-01
    5.1300000E+00    1.0119299E-01    1.0119299E-01
    5.3100000E+00    1.0118570E-01    1.0118570E-01
    5.4900000E+00    1.0117874E-01    1.0117874E-01
    5.6700000E+00    1.0117211E-01    1.0117211E-01
    5.8500000E+00    1.0116577E-01    1.0116577E-01
    6.0300000E+00    1.0115972E-01    1.0115972E-01
    6.2100000E+00    1.0115394E-01    1.0115394E-01
    6.3900000E+00    1.0114842E-01    1.0114842E-01
    6.5700000E+00    1.0114315E-01    1.0114315E-01
    6.7500000E+00    1.0113810E-01    1.0113810E-01
    6.9300000E+00    1.0113327E-01    1.0113327E-01
    7.1100000E+00    1.0112865E-01    1.0112865E-01
    7.2900000E+00    1.0112423E-01    1.0112423E-01
    7.4700000E+00    1.0112000E-01    1.0112000E-01
    7.6500000E+00    1.0111595E-01    1.0111595E-01
    7.8300000E+00    1.0111206E-01    1.0111206E-01
    8.0100000E+00    1.0110834E-01    1.0110834E-01
    8.1900000E+00    1.0004537E-01    1.0004537E-01
    8.3700000E+00    1.0004019E-01    1.0004019E-01
    8.5500000E+00    1.0003525E-01    1.0003525E-01
    8.7300000E+00    1.0003054E-01    1.0003054E-01
    8.9100000E+00    1.0002604E-01    1.0002604E-01
    9.0900000E+00    1.0002173E-01    1.0002173E-01
    9.2700000E+00    1.0001760E-01    1.0001760E-01
    9.4500000E+00    1.0001364E-01    1.0001364E-01
    9.6300000E+00    1.0000984E-01    1.0000984E-01
    9.8100000E+00    1.0000620E-01    1.0000620E-01
    9.9900000E+00    1.0000270E-01    1.0000270E-01
    1.0170000E+01    9.9999348E-02    9.9999348E-02
    1.0350000E+01    9.9996126E-02    9.9996126E-02
    1.0530000E+01    9.9993035E-02    9.9993035E-02
    1.0710000E+01    9.9990068E-02    9.9990068E-02
    1.0890000E+01    9.9987221E-02    9.9987221E-02
    1.1070000E+01    9.9984490E-02    9.9984490E-02
    1.1250000E+01    9.9981871E-02    9.9981871E-02
    1.1430000E+01    9.9979360E-02    9.9979360E-02
    1.1610000E+01    9.9976955E-02    9.9976955E-02
    1.1790000E+01    9.9974652E-02    9.9974652E-02
    1.1970000E+01    9.9972449E-02    9.9972449E-02
    1.2150000E+01    9.9970347E-02    9.9970347E-02
    1.2330000E+01    9.9968344E-02    9.9968344E-02
    1.2510000E+01    9.9033248E-02    9.9033248E-02
    1.2690000E+01    9.9033478E-02    9.9033478E-02
    1.2870000E+01    9.9033203E-02    9.9033203E-02
    1.3050000E+01    9.9032984E-02    9.9032984E-02
    1.3230000E+01    9.9032793E-02    9.9032793E-02
    1.3410000E+01    9.9032615E-02    9.9032615E-02
    1.3590000E+01    9.9032444E-02    9.9032444E-02
    1.3770000E+01    9.9032277E-02    9.9032277E-02
    1.3950000E+01    9.9032114E-02    9.9032114E-02
    1.4130000E+01    9.9031954E-02    9.9031954E-02
    1.4310000E+01    9.9031797E-02    9.9031797E-02
    1.4490000E+01    9.9031643E-02    9.9031643E-02
    1.4670000E+01    9.9031492E-02    9.9031492E-02
    1.4850000E+01    9.9031343E-02    9.9031343E-02
    1.5030000E+01    9.9031197E-02    9.9031197E-02
    1.5210000E+01    9.9031054E-02    9.9031054E-02
    1.5390000E+01    9.9030913E-02    9.9030913E-02
    1.5570000E+01    9.9030775E-02    9.9030775E-02
    1.5750000E+01    9.9030640E-02    9.9030640E-02
    1.5930000E+01    9.9030508E-02    9.9030508E-02
    1.6110000E+01    9.9030378E-02    9.9030378E-02
    1.6290000E+01    9.9030251E-02    9.9030251E-02
    1.6470000E+01    9.9030127E-02    9.9030127E-02
    1.6650000E+01    9.9030006E-02    9.9030006E-02
    1.6830000E+01    9.9029888E-02    9.9029888E-02
    1.7010000E+01    9.9029774E-02    9.9029774E-02
    1.7190000E+01    9.9029665E-02    9.9029665E-02
    1.7370000E+01    9.9029560E-02    9.9029560E-02
    1.7550000E+01    9.9029463E-02    9.9029463E-02
    1.7730000E+01    9.9029373E-02    9.9029373E-02
    1.7910000E+01    9.9029295E-02    9.9029295E-02
