# Time series at grid cell:   1   1   1
  Time(yrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E-09                2.88997869653075E-05   7.24994775456760E-05   3.48474876217294E-09   6.81011602465174E-06   4.31999859513786E-05   1.21002210879227E-05   8.78999275581049E-07   5.27999667433462E-09   5.96999097461982E+00   1.38423793985446E-03   3.43462970572007E-04
  2.00000E-09                2.88997774247507E-05   7.24994536581008E-05   3.48950075331151E-09   6.81011102864610E-06   4.31999719027643E-05   1.21002121712511E-05   8.78998551163987E-07   5.27999334867363E-09   5.96999015654658E+00   1.38423780387298E-03   3.43462958248748E-04
  3.00000E-09                2.88997676994444E-05   7.24994292870340E-05   3.49424951211390E-09   6.81010614721493E-06   4.31999578541987E-05   1.21002034741815E-05   8.78997826747560E-07   5.27999002301105E-09   5.96998966254045E+00   1.38423787783096E-03   3.43462945887028E-04
  4.00000E-09                2.88997578376107E-05   7.24994045671985E-05   3.49899826495606E-09   6.81010134926070E-06   4.31999438056426E-05   1.21001949370587E-05   8.78997102332199E-07   5.27998669735107E-09   5.96998932011874E+00   1.38423805256956E-03   3.43462933497433E-04
  5.00000E-09                2.88997479077609E-05   7.24993796739801E-05   3.50374701201238E-09   6.81009659262236E-06   4.31999297570962E-05   1.21001864791107E-05   8.78996377917786E-07   5.27998337169340E-09   5.96998904927194E+00   1.38423827497379E-03   3.43462921094054E-04
  7.00000E-09                2.88997279407258E-05   7.24993296164051E-05   3.51325414567022E-09   6.81008714418154E-06   4.31999016600310E-05   1.21001696874476E-05   8.78994929093441E-07   5.27997672038998E-09   5.96998859498437E+00   1.38423877861837E-03   3.43462896265901E-04
  1.10000E-08                2.88996879680702E-05   7.24992294007226E-05   3.53228755087719E-09   6.81006827217393E-06   4.31998454660452E-05   1.21001361517303E-05   8.78992031460556E-07   5.27996341782299E-09   5.96998775015721E+00   1.38423982769539E-03   3.43462846602689E-04
  1.90000E-08                2.88996079933043E-05   7.24990288948491E-05   3.57043041954869E-09   6.81003054593249E-06   4.31997330786383E-05   1.21000691143488E-05   8.78986236257813E-07   5.27993681284837E-09   5.96998608548805E+00   1.38424194250080E-03   3.43462747275527E-04
  3.50000E-08                2.88994480317863E-05   7.24986278533795E-05   3.64620293578121E-09   6.80995510248719E-06   4.31995083070134E-05   1.20999350567603E-05   8.78974646027498E-07   5.27988360326791E-09   5.96998276125237E+00   1.38424617508165E-03   3.43462548639290E-04
  6.70000E-08                2.88991281215173E-05   7.24978258020519E-05   3.79815286013301E-09   6.80980421730564E-06   4.31990587735110E-05   1.20996669441925E-05   8.78951466498027E-07   5.27977718638634E-09   5.96997611446302E+00   1.38425463861383E-03   3.43462151451036E-04
