# Time          5.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer           HCO3-            Al(OH)2+         AlO2-            AlOH++           FeOH+            FeOH++           FeSO4(aq)        FeSO4+           OH-              CO3--            FeCO3(aq)        FeCO3+           FeHCO3+          NaCO3-           NaHCO3(aq)   
    1.8900000E+00    6.0267001E+00   -6.0158998E+00   -3.9999999E+00   -4.1359701E+00   -4.3298663E+00   -4.2409760E+00   -8.3166095E+00   -3.8941011E+00   -2.8735444E+00   -3.7219298E+00   -6.4486880E+00   -7.2299052E+00   -1.4981115E+01   -1.4000000E+01   -1.4000003E+01   -4.5205177E+00   -1.4000000E+01   -6.7209767E+00   -3.0000000E+01   -3.2790784E+00   -7.7455302E+00   -8.6698288E+00   -7.7018210E+00   -1.0736210E+01   -1.1197100E+01   -1.9119012E+01   -2.7387588E+01   -8.4274329E+00   -7.6816455E+00   -1.0136535E+01   -1.2515549E+01   -7.8331851E+00   -1.1191303E+01   -7.1695342E+00
    2.0700000E+00    6.0273046E+00   -6.0162046E+00   -3.9999999E+00   -4.0946936E+00   -4.2919326E+00   -4.2435070E+00   -8.2425613E+00   -3.8552464E+00   -2.8552822E+00   -3.7578101E+00   -6.4486896E+00   -7.2346110E+00   -1.4980536E+01   -1.4000000E+01   -1.4000003E+01   -4.4648140E+00   -1.4000000E+01   -4.9818632E+00   -3.0000000E+01   -3.2598859E+00   -7.6726587E+00   -8.5957482E+00   -7.6285920E+00   -1.0741245E+01   -1.1197339E+01   -1.9126272E+01   -2.7390689E+01   -8.4265034E+00   -7.6608865E+00   -1.0123026E+01   -1.2497881E+01   -7.8199549E+00   -1.1130552E+01   -7.1097137E+00
    2.2500000E+00    6.0272848E+00   -6.0158954E+00   -3.9999999E+00   -4.0570139E+00   -4.2570482E+00   -4.2463351E+00   -8.2793057E+00   -3.8204910E+00   -2.8372597E+00   -3.7952183E+00   -6.4486913E+00   -7.2239841E+00   -1.4977939E+01   -1.4000000E+01   -1.4000003E+01   -4.4156140E+00   -1.4000000E+01   -4.8951663E+00   -3.0000000E+01   -3.2415681E+00   -7.7117449E+00   -8.6348741E+00   -7.6667283E+00   -1.0731540E+01   -1.1196135E+01   -1.9118114E+01   -2.7391646E+01   -8.4262089E+00   -7.6416584E+00   -1.0095630E+01   -1.2479600E+01   -7.7922243E+00   -1.1074886E+01   -7.0543431E+00
    2.4300000E+00    6.0272100E+00   -6.0155406E+00   -3.9999999E+00   -4.0223513E+00   -4.2247563E+00   -4.2494462E+00   -8.3128459E+00   -3.7890875E+00   -2.8199560E+00   -3.8343331E+00   -6.4486929E+00   -7.2039242E+00   -1.4975238E+01   -1.4000000E+01   -1.4000003E+01   -4.3715609E+00   -1.4000000E+01   -4.8505724E+00   -3.0000000E+01   -3.2240335E+00   -7.7476622E+00   -8.6709410E+00   -7.7016691E+00   -1.0712429E+01   -1.1194834E+01   -1.9100448E+01   -2.7392386E+01   -8.4259788E+00   -7.6232969E+00   -1.0059593E+01   -1.2461969E+01   -7.7558063E+00   -1.1023066E+01   -7.0027542E+00
    2.6100000E+00    6.0271761E+00   -6.0152353E+00   -3.9999999E+00   -3.9902627E+00   -4.1946990E+00   -4.2528320E+00   -8.3436416E+00   -3.7605109E+00   -2.8034050E+00   -3.8752666E+00   -6.4486946E+00   -7.1780527E+00   -1.4972724E+01   -1.4000000E+01   -1.4000003E+01   -4.3316873E+00   -1.4000000E+01   -4.8096632E+00   -3.0000000E+01   -3.2072195E+00   -7.7806846E+00   -8.7040312E+00   -7.7337820E+00   -1.0687440E+01   -1.1193637E+01   -1.9076900E+01   -2.7393210E+01   -8.4257166E+00   -7.6056413E+00   -1.0018380E+01   -1.2445128E+01   -7.7142624E+00   -1.0974491E+01   -6.9544423E+00
    2.7900000E+00    6.0272107E+00   -6.0150065E+00   -3.9999999E+00   -3.9603984E+00   -4.1665885E+00   -4.2564844E+00   -8.3721878E+00   -3.7343521E+00   -2.7875797E+00   -3.9181692E+00   -6.4486963E+00   -7.1484939E+00   -1.4970481E+01   -1.4000000E+01   -1.4000004E+01   -4.2952753E+00   -1.4000000E+01   -4.7677233E+00   -3.0000000E+01   -3.1910708E+00   -7.8112567E+00   -8.7345341E+00   -7.7635374E+00   -1.0658670E+01   -1.1192604E+01   -1.9049600E+01   -2.7394209E+01   -8.4253940E+00   -7.5886066E+00   -9.9740361E+00   -1.2429083E+01   -7.6696644E+00   -1.0928729E+01   -6.9090037E+00
    2.9700000E+00    6.0273339E+00   -6.0148737E+00   -3.9999999E+00   -3.9324771E+00   -4.1401900E+00   -4.2603958E+00   -8.3988725E+00   -3.7102857E+00   -2.7724518E+00   -3.9632131E+00   -6.4486980E+00   -7.1164884E+00   -1.4968569E+01   -1.4000000E+01   -1.4000004E+01   -4.2617775E+00   -1.4000000E+01   -4.7239905E+00   -3.0000000E+01   -3.1755384E+00   -7.8397309E+00   -8.7627620E+00   -7.7913061E+00   -1.0627343E+01   -1.1191776E+01   -1.9019794E+01   -2.7395449E+01   -8.4249903E+00   -7.5721224E+00   -9.9277356E+00   -1.2413829E+01   -7.6232059E+00   -1.0885431E+01   -6.8661094E+00
    3.1500000E+00    6.0275664E+00   -6.0148572E+00   -3.9999999E+00   -3.9062699E+00   -4.1153097E+00   -4.2645589E+00   -8.4240264E+00   -3.6880494E+00   -2.7579992E+00   -4.0105921E+00   -6.4486997E+00   -7.0827741E+00   -1.4967047E+01   -1.4000000E+01   -1.4000004E+01   -4.2307673E+00   -1.4000000E+01   -4.6782331E+00   -3.0000000E+01   -3.1605790E+00   -7.8664000E+00   -8.7889660E+00   -7.8174004E+00   -1.0594176E+01   -1.1191195E+01   -1.8988222E+01   -2.7396996E+01   -8.4244844E+00   -7.5561230E+00   -9.8801549E+00   -1.2399367E+01   -7.5755836E+00   -1.0844302E+01   -6.8254879E+00
    3.3300000E+00    6.0279315E+00   -6.0149798E+00   -3.9999999E+00   -3.8815877E+00   -4.0917855E+00   -4.2689668E+00   -8.4479427E+00   -3.6674291E+00   -2.7442071E+00   -4.0605243E+00   -6.4487014E+00   -7.0478080E+00   -1.4965983E+01   -1.4000000E+01   -1.4000005E+01   -4.2019059E+00   -1.4000000E+01   -4.6302914E+00   -3.0000000E+01   -3.1461543E+00   -7.8915145E+00   -8.8133502E+00   -7.8420924E+00   -1.0559605E+01   -1.1190906E+01   -1.8955346E+01   -2.7398921E+01   -8.4238526E+00   -7.5405455E+00   -9.8316915E+00   -1.2385705E+01   -7.5272177E+00   -1.0805095E+01   -6.7869130E+00
    3.5100000E+00    6.0284554E+00   -6.0152672E+00   -3.9999999E+00   -3.8582736E+00   -4.0694809E+00   -4.2736129E+00   -8.4708899E+00   -3.6482480E+00   -2.7310679E+00   -4.1132549E+00   -6.4487031E+00   -7.0118919E+00   -1.4965453E+01   -1.4000000E+01   -1.4000005E+01   -4.1749199E+00   -1.4000000E+01   -4.5800124E+00   -3.0000000E+01   -3.1322300E+00   -7.9152934E+00   -8.8360814E+00   -7.8656263E+00   -1.0523907E+01   -1.1190962E+01   -1.8921469E+01   -2.7401307E+01   -8.4230683E+00   -7.5253286E+00   -9.7825885E+00   -1.2372864E+01   -7.4783773E+00   -1.0767591E+01   -6.7501940E+00
