# Time          5.0000E+01
# Units: Mol/kgw/yr
    Distance        CH2O_decomp      FeII_oxidation_a
    9.0000000E-02    2.2553404E-01    8.7454722E-06
    2.7000000E-01    2.8570287E-02    1.2894831E-05
    4.5000000E-01    4.1718124E-03    1.6569913E-05
    6.3000000E-01    1.0763825E-03    1.9471801E-05
    8.1000000E-01    6.7424871E-04    2.1544589E-05
    9.9000000E-01    6.2069310E-04    2.2866464E-05
    1.1700000E+00    6.1332372E-04    2.3576102E-05
    1.3500000E+00    6.1220178E-04    2.3823748E-05
    1.5300000E+00    6.1192016E-04    2.3742700E-05
    1.7100000E+00    6.1172643E-04    2.3436978E-05
    1.8900000E+00    6.1483972E-04    2.2979396E-05
    2.0700000E+00    3.0573682E-02    2.1669954E-05
    2.2500000E+00    3.5350541E-02    2.0723667E-05
    2.4300000E+00    3.6132618E-02    2.0039539E-05
    2.6100000E+00    3.6261062E-02    1.9536570E-05
    2.7900000E+00    3.6278964E-02    1.9157684E-05
    2.9700000E+00    3.6277426E-02    1.8864477E-05
    3.1500000E+00    3.6272314E-02    1.8631300E-05
    3.3300000E+00    3.6266600E-02    1.8441052E-05
    3.5100000E+00    3.6260997E-02    1.8282363E-05
    3.6900000E+00    3.6255827E-02    1.8147753E-05
    3.8700000E+00    3.6251360E-02    1.8032416E-05
    4.0500000E+00    3.6247877E-02    1.7933404E-05
    4.2300000E+00    3.6245682E-02    1.7849101E-05
    4.4100000E+00    3.6245102E-02    1.7778851E-05
    4.5900000E+00    3.6246486E-02    1.7722718E-05
    4.7700000E+00    3.6250195E-02    1.7681317E-05
    4.9500000E+00    3.6256595E-02    1.7655696E-05
    5.1300000E+00    3.6266050E-02    1.7647249E-05
    5.3100000E+00    3.6278901E-02    1.7657659E-05
    5.4900000E+00    3.6295457E-02    1.7688846E-05
    5.6700000E+00    3.6315972E-02    1.7742930E-05
    5.8500000E+00    3.6340628E-02    1.7822195E-05
    6.0300000E+00    3.6369511E-02    1.7929062E-05
    6.2100000E+00    3.6402600E-02    1.8066060E-05
    6.3900000E+00    3.6439743E-02    1.8235795E-05
    6.5700000E+00    3.6480652E-02    1.8440932E-05
    6.7500000E+00    3.6524897E-02    1.8684162E-05
    6.9300000E+00    3.6571909E-02    1.8968181E-05
    7.1100000E+00    3.6620995E-02    1.9295670E-05
    7.2900000E+00    3.6671360E-02    1.9669267E-05
    7.4700000E+00    3.6722132E-02    2.0091552E-05
    7.6500000E+00    3.6772409E-02    2.0565012E-05
    7.8300000E+00    3.6821290E-02    2.1092013E-05
    8.0100000E+00    3.6863079E-02    2.1674912E-05
    8.1900000E+00    1.1458464E-02    2.2637240E-05
    8.3700000E+00    3.8257745E-03    2.3500782E-05
    8.5500000E+00    1.5578556E-03    2.4227747E-05
    8.7300000E+00    8.9216587E-04    2.4814622E-05
    8.9100000E+00    6.9915591E-04    2.5269068E-05
    9.0900000E+00    6.4384593E-04    2.5603123E-05
    9.2700000E+00    6.2814670E-04    2.5830633E-05
    9.4500000E+00    6.2370004E-04    2.5966073E-05
    9.6300000E+00    6.2241114E-04    2.6023835E-05
    9.8100000E+00    6.2199849E-04    2.6017734E-05
    9.9900000E+00    6.2182706E-04    2.5960643E-05
    1.0170000E+01    6.2172229E-04    2.5864233E-05
    1.0350000E+01    6.2163679E-04    2.5738810E-05
    1.0530000E+01    6.2155780E-04    2.5593239E-05
    1.0710000E+01    6.2148193E-04    2.5434941E-05
    1.0890000E+01    6.2140826E-04    2.5269952E-05
    1.1070000E+01    6.2133653E-04    2.5103027E-05
    1.1250000E+01    6.2126662E-04    2.4937772E-05
    1.1430000E+01    6.2119849E-04    2.4776797E-05
    1.1610000E+01    6.2113209E-04    2.4621868E-05
    1.1790000E+01    6.2106739E-04    2.4474067E-05
    1.1970000E+01    6.2100434E-04    2.4333927E-05
    1.2150000E+01    6.2094293E-04    2.4201562E-05
    1.2330000E+01    6.2088365E-04    2.4078651E-05
    1.2510000E+01    6.2465865E-04    2.8461787E-05
    1.2690000E+01    6.2539666E-04    3.1484880E-05
    1.2870000E+01    6.2544176E-04    3.3552195E-05
    1.3050000E+01    6.2533830E-04    3.4956597E-05
    1.3230000E+01    6.2520849E-04    3.5906276E-05
    1.3410000E+01    6.2507902E-04    3.6547318E-05
    1.3590000E+01    6.2495529E-04    3.6980937E-05
    1.3770000E+01    6.2483800E-04    3.7276399E-05
    1.3950000E+01    6.2472692E-04    3.7480531E-05
    1.4130000E+01    6.2462163E-04    3.7624608E-05
    1.4310000E+01    6.2452172E-04    3.7729274E-05
    1.4490000E+01    6.2442679E-04    3.7807984E-05
    1.4670000E+01    6.2433650E-04    3.7869403E-05
    1.4850000E+01    6.2425052E-04    3.7919035E-05
    1.5030000E+01    6.2416857E-04    3.7960326E-05
    1.5210000E+01    6.2409034E-04    3.7995397E-05
    1.5390000E+01    6.2401558E-04    3.8025526E-05
    1.5570000E+01    6.2394406E-04    3.8051463E-05
    1.5750000E+01    6.2387554E-04    3.8073627E-05
    1.5930000E+01    6.2380980E-04    3.8092235E-05
    1.6110000E+01    6.2374661E-04    3.8107378E-05
    1.6290000E+01    6.2368575E-04    3.8119069E-05
    1.6470000E+01    6.2362699E-04    3.8127272E-05
    1.6650000E+01    6.2357010E-04    3.8131920E-05
    1.6830000E+01    6.2351486E-04    3.8132919E-05
    1.7010000E+01    6.2346104E-04    3.8130155E-05
    1.7190000E+01    6.2340841E-04    3.8123495E-05
    1.7370000E+01    6.2335672E-04    3.8112783E-05
    1.7550000E+01    6.2330575E-04    3.8097843E-05
    1.7730000E+01    6.2325524E-04    3.8078472E-05
    1.7910000E+01    6.2320498E-04    3.8054448E-05
