# Time          5.0000E+01
    Distance         pH
  9.0000E-02    5.8030E+00
  2.7000E-01    5.8376E+00
  4.5000E-01    5.8697E+00
  6.3000E-01    5.8974E+00
  8.1000E-01    5.9210E+00
  9.9000E-01    5.9407E+00
  1.1700E+00    5.9570E+00
  1.3500E+00    5.9700E+00
  1.5300E+00    5.9798E+00
  1.7100E+00    5.9866E+00
  1.8900E+00    5.9905E+00
  2.0700E+00    5.9932E+00
  2.2500E+00    5.9952E+00
  2.4300E+00    5.9969E+00
  2.6100E+00    5.9984E+00
  2.7900E+00    5.9997E+00
  2.9700E+00    6.0009E+00
  3.1500E+00    6.0019E+00
  3.3300E+00    6.0029E+00
  3.5100E+00    6.0038E+00
  3.6900E+00    6.0047E+00
  3.8700E+00    6.0055E+00
  4.0500E+00    6.0063E+00
  4.2300E+00    6.0071E+00
  4.4100E+00    6.0079E+00
  4.5900E+00    6.0087E+00
  4.7700E+00    6.0096E+00
  4.9500E+00    6.0104E+00
  5.1300E+00    6.0114E+00
  5.3100E+00    6.0125E+00
  5.4900E+00    6.0136E+00
  5.6700E+00    6.0149E+00
  5.8500E+00    6.0163E+00
  6.0300E+00    6.0179E+00
  6.2100E+00    6.0196E+00
  6.3900E+00    6.0217E+00
  6.5700E+00    6.0239E+00
  6.7500E+00    6.0265E+00
  6.9300E+00    6.0295E+00
  7.1100E+00    6.0329E+00
  7.2900E+00    6.0368E+00
  7.4700E+00    6.0412E+00
  7.6500E+00    6.0463E+00
  7.8300E+00    6.0521E+00
  8.0100E+00    6.0589E+00
  8.1900E+00    6.0668E+00
  8.3700E+00    6.0749E+00
  8.5500E+00    6.0829E+00
  8.7300E+00    6.0908E+00
  8.9100E+00    6.0985E+00
  9.0900E+00    6.1060E+00
  9.2700E+00    6.1133E+00
  9.4500E+00    6.1205E+00
  9.6300E+00    6.1276E+00
  9.8100E+00    6.1344E+00
  9.9900E+00    6.1412E+00
  1.0170E+01    6.1478E+00
  1.0350E+01    6.1542E+00
  1.0530E+01    6.1606E+00
  1.0710E+01    6.1667E+00
  1.0890E+01    6.1728E+00
  1.1070E+01    6.1787E+00
  1.1250E+01    6.1845E+00
  1.1430E+01    6.1901E+00
  1.1610E+01    6.1956E+00
  1.1790E+01    6.2010E+00
  1.1970E+01    6.2062E+00
  1.2150E+01    6.2113E+00
  1.2330E+01    6.2162E+00
  1.2510E+01    6.2192E+00
  1.2690E+01    6.2221E+00
  1.2870E+01    6.2251E+00
  1.3050E+01    6.2280E+00
  1.3230E+01    6.2309E+00
  1.3410E+01    6.2338E+00
  1.3590E+01    6.2366E+00
  1.3770E+01    6.2394E+00
  1.3950E+01    6.2422E+00
  1.4130E+01    6.2450E+00
  1.4310E+01    6.2477E+00
  1.4490E+01    6.2505E+00
  1.4670E+01    6.2532E+00
  1.4850E+01    6.2558E+00
  1.5030E+01    6.2585E+00
  1.5210E+01    6.2611E+00
  1.5390E+01    6.2637E+00
  1.5570E+01    6.2663E+00
  1.5750E+01    6.2688E+00
  1.5930E+01    6.2713E+00
  1.6110E+01    6.2738E+00
  1.6290E+01    6.2762E+00
  1.6470E+01    6.2786E+00
  1.6650E+01    6.2810E+00
  1.6830E+01    6.2833E+00
  1.7010E+01    6.2856E+00
  1.7190E+01    6.2878E+00
  1.7370E+01    6.2900E+00
  1.7550E+01    6.2921E+00
  1.7730E+01    6.2941E+00
  1.7910E+01    6.2961E+00
