# Time          5.0000E+01
# Units: Bars
    Distance        CO2(g)           O2(g)            CH4(g)          
    9.0000000E-02    1.2721945E-02    2.0638993E-01    1.9000023E-04
    2.7000000E-01    1.3028791E-02    2.0039688E-01    1.9000071E-04
    4.5000000E-01    1.3296895E-02    1.9450822E-01    1.9000118E-04
    6.3000000E-01    1.3630121E-02    1.8860872E-01    1.9000165E-04
    8.1000000E-01    1.4046204E-02    1.8268728E-01    1.9000211E-04
    9.9000000E-01    1.4555487E-02    1.7674298E-01    1.9000257E-04
    1.1700000E+00    1.5169064E-02    1.7077589E-01    1.9000302E-04
    1.3500000E+00    1.5899760E-02    1.6478613E-01    1.9000347E-04
    1.5300000E+00    1.6762408E-02    1.5877383E-01    1.9000391E-04
    1.7100000E+00    1.7774086E-02    1.5273906E-01    1.9000435E-04
    1.8900000E+00    1.8954376E-02    1.4668188E-01    1.9000478E-04
    2.0700000E+00    2.0316413E-02    1.4064338E-01    1.9000521E-04
    2.2500000E+00    2.1693096E-02    1.3481740E-01    1.9000563E-04
    2.4300000E+00    2.3069935E-02    1.2918932E-01    1.9000604E-04
    2.6100000E+00    2.4443469E-02    1.2376359E-01    1.9000645E-04
    2.7900000E+00    2.5812823E-02    1.1854162E-01    1.9000685E-04
    2.9700000E+00    2.7177426E-02    1.1352438E-01    1.9000725E-04
    3.1500000E+00    2.8536691E-02    1.0871277E-01    1.9000764E-04
    3.3300000E+00    2.9889952E-02    1.0410768E-01    1.9000803E-04
    3.5100000E+00    3.1236450E-02    9.9709988E-02    1.9000841E-04
    3.6900000E+00    3.2575321E-02    9.5520576E-02    1.9000878E-04
    3.8700000E+00    3.3905578E-02    9.1540325E-02    1.9000915E-04
    4.0500000E+00    3.5226099E-02    8.7770119E-02    1.9000951E-04
    4.2300000E+00    3.6535600E-02    8.4210843E-02    1.9000987E-04
    4.4100000E+00    3.7832618E-02    8.0863390E-02    1.9001022E-04
    4.5900000E+00    3.9115482E-02    7.7728664E-02    1.9001057E-04
    4.7700000E+00    4.0382281E-02    7.4807578E-02    1.9001091E-04
    4.9500000E+00    4.1630833E-02    7.2101063E-02    1.9001124E-04
    5.1300000E+00    4.2858640E-02    6.9610072E-02    1.9001157E-04
    5.3100000E+00    4.4062848E-02    6.7335577E-02    1.9001189E-04
    5.4900000E+00    4.5240191E-02    6.5278582E-02    1.9001221E-04
    5.6700000E+00    4.6386935E-02    6.3440118E-02    1.9001252E-04
