# Time          5.0000E+01
# Units: Bars
    Distance        CO2(g)           O2(g)            CH4(g)          
    9.0000000E-02    3.9675246E-02    2.0998602E-01    1.9000029E-04
    2.7000000E-01    3.9053783E-02    2.0995806E-01    1.9000087E-04
    4.5000000E-01    3.8461457E-02    2.0993004E-01    1.9000144E-04
    6.3000000E-01    3.7893876E-02    2.0990197E-01    1.9000199E-04
    8.1000000E-01    3.7347368E-02    2.0987385E-01    1.9000253E-04
    9.9000000E-01    3.6818929E-02    2.0984568E-01    1.9000307E-04
    1.1700000E+00    3.6306056E-02    2.0981747E-01    1.9000358E-04
    1.3500000E+00    3.5806614E-02    2.0978921E-01    1.9000409E-04
    1.5300000E+00    3.5318748E-02    2.0976090E-01    1.9000459E-04
    1.7100000E+00    3.4840817E-02    2.0973255E-01    1.9000508E-04
    1.8900000E+00    3.4371343E-02    2.0970416E-01    1.9000556E-04
    2.0700000E+00    3.3911977E-02    2.0967592E-01    1.9000603E-04
    2.2500000E+00    3.3467118E-02    2.0964781E-01    1.9000648E-04
    2.4300000E+00    3.3033123E-02    2.0961966E-01    1.9000693E-04
    2.6100000E+00    3.2609192E-02    2.0959146E-01    1.9000736E-04
    2.7900000E+00    3.2194632E-02    2.0956321E-01    1.9000779E-04
    2.9700000E+00    3.1788836E-02    2.0953491E-01    1.9000820E-04
    3.1500000E+00    3.1391270E-02    2.0950657E-01    1.9000861E-04
    3.3300000E+00    3.1001463E-02    2.0947818E-01    1.9000901E-04
    3.5100000E+00    3.0618993E-02    2.0944975E-01    1.9000940E-04
    3.6900000E+00    3.0243481E-02    2.0942128E-01    1.9000978E-04
    3.8700000E+00    2.9874588E-02    2.0939275E-01    1.9001015E-04
    4.0500000E+00    2.9512006E-02    2.0936419E-01    1.9001051E-04
    4.2300000E+00    2.9155455E-02    2.0933558E-01    1.9001087E-04
    4.4100000E+00    2.8804681E-02    2.0930692E-01    1.9001122E-04
    4.5900000E+00    2.8459452E-02    2.0927822E-01    1.9001156E-04
    4.7700000E+00    2.8119555E-02    2.0924948E-01    1.9001189E-04
    4.9500000E+00    2.7784797E-02    2.0922069E-01    1.9001222E-04
    5.1300000E+00    2.7454998E-02    2.0919185E-01    1.9001253E-04
    5.3100000E+00    2.7129993E-02    2.0916298E-01    1.9001284E-04
    5.4900000E+00    2.6809634E-02    2.0913405E-01    1.9001315E-04
    5.6700000E+00    2.6493780E-02    2.0910508E-01    1.9001344E-04
    5.8500000E+00    2.6182306E-02    2.0907607E-01    1.9001373E-04
    6.0300000E+00    2.5875095E-02    2.0904702E-01    1.9001401E-04
    6.2100000E+00    2.5572041E-02    2.0901791E-01    1.9001428E-04
    6.3900000E+00    2.5273048E-02    2.0898877E-01    1.9001455E-04
    6.5700000E+00    2.4978029E-02    2.0895958E-01    1.9001481E-04
    6.7500000E+00    2.4686906E-02    2.0893034E-01    1.9001506E-04
    6.9300000E+00    2.4399611E-02    2.0890106E-01    1.9001531E-04
    7.1100000E+00    2.4116084E-02    2.0887173E-01    1.9001555E-04
    7.2900000E+00    2.3836274E-02    2.0884236E-01    1.9001578E-04
    7.4700000E+00    2.3560138E-02    2.0881294E-01    1.9001601E-04
    7.6500000E+00    2.3287644E-02    2.0878348E-01    1.9001623E-04
    7.8300000E+00    2.3018768E-02    2.0875397E-01    1.9001644E-04
    8.0100000E+00    2.2753498E-02    2.0872442E-01    1.9001665E-04
    8.1900000E+00    2.2489970E-02    2.0869461E-01    1.9001685E-04
    8.3700000E+00    2.2228521E-02    2.0866455E-01    1.9001705E-04
    8.5500000E+00    2.1970845E-02    2.0863444E-01    1.9001724E-04
    8.7300000E+00    2.1716980E-02    2.0860430E-01    1.9001743E-04
    8.9100000E+00    2.1466978E-02    2.0857411E-01    1.9001761E-04
    9.0900000E+00    2.1220906E-02    2.0854388E-01    1.9001778E-04
    9.2700000E+00    2.0978851E-02    2.0851360E-01    1.9001795E-04
    9.4500000E+00    2.0740915E-02    2.0848328E-01    1.9001811E-04
    9.6300000E+00    2.0507224E-02    2.0845292E-01    1.9001827E-04
    9.8100000E+00    2.0277925E-02    2.0842252E-01    1.9001841E-04
    9.9900000E+00    2.0053194E-02    2.0839208E-01    1.9001856E-04
    1.0170000E+01    1.9833230E-02    2.0836159E-01    1.9001870E-04
    1.0350000E+01    1.9618269E-02    2.0833105E-01    1.9001883E-04
    1.0530000E+01    1.9408578E-02    2.0830048E-01    1.9001896E-04
    1.0710000E+01    1.9204464E-02    2.0826986E-01    1.9001908E-04
    1.0890000E+01    1.9006279E-02    2.0823919E-01    1.9001919E-04
    1.1070000E+01    1.8814422E-02    2.0820848E-01    1.9001930E-04
    1.1250000E+01    1.8629344E-02    2.0817773E-01    1.9001941E-04
    1.1430000E+01    1.8451560E-02    2.0814693E-01    1.9001950E-04
    1.1610000E+01    1.8281647E-02    2.0811609E-01    1.9001960E-04
    1.1790000E+01    1.8120259E-02    2.0808521E-01    1.9001969E-04
    1.1970000E+01    1.7968134E-02    2.0805428E-01    1.9001977E-04
    1.2150000E+01    1.7826099E-02    2.0802331E-01    1.9001985E-04
    1.2330000E+01    1.7695089E-02    2.0799229E-01    1.9001992E-04
    1.2510000E+01    1.7575397E-02    2.0796103E-01    1.9001999E-04
    1.2690000E+01    1.7456093E-02    2.0793053E-01    1.9002006E-04
    1.2870000E+01    1.7337886E-02    2.0790100E-01    1.9002012E-04
    1.3050000E+01    1.7220820E-02    2.0787244E-01    1.9002019E-04
    1.3230000E+01    1.7104944E-02    2.0784484E-01    1.9002024E-04
    1.3410000E+01    1.6990316E-02    2.0781822E-01    1.9002030E-04
    1.3590000E+01    1.6876999E-02    2.0779258E-01    1.9002036E-04
    1.3770000E+01    1.6765068E-02    2.0776792E-01    1.9002041E-04
    1.3950000E+01    1.6654603E-02    2.0774425E-01    1.9002046E-04
    1.4130000E+01    1.6545700E-02    2.0772156E-01    1.9002051E-04
    1.4310000E+01    1.6438461E-02    2.0769987E-01    1.9002055E-04
    1.4490000E+01    1.6333008E-02    2.0767917E-01    1.9002060E-04
    1.4670000E+01    1.6229472E-02    2.0765947E-01    1.9002064E-04
    1.4850000E+01    1.6128005E-02    2.0764078E-01    1.9002068E-04
    1.5030000E+01    1.6028775E-02    2.0762309E-01    1.9002072E-04
    1.5210000E+01    1.5931975E-02    2.0760641E-01    1.9002075E-04
    1.5390000E+01    1.5837817E-02    2.0759075E-01    1.9002079E-04
    1.5570000E+01    1.5746543E-02    2.0757611E-01    1.9002082E-04
    1.5750000E+01    1.5658424E-02    2.0756248E-01    1.9002085E-04
    1.5930000E+01    1.5573763E-02    2.0754989E-01    1.9002088E-04
    1.6110000E+01    1.5492903E-02    2.0753832E-01    1.9002091E-04
    1.6290000E+01    1.5416226E-02    2.0752779E-01    1.9002093E-04
    1.6470000E+01    1.5344163E-02    2.0751829E-01    1.9002096E-04
    1.6650000E+01    1.5277196E-02    2.0750983E-01    1.9002098E-04
    1.6830000E+01    1.5215869E-02    2.0750241E-01    1.9002100E-04
    1.7010000E+01    1.5160788E-02    2.0749605E-01    1.9002101E-04
    1.7190000E+01    1.5112635E-02    2.0749073E-01    1.9002103E-04
    1.7370000E+01    1.5072176E-02    2.0748647E-01    1.9002104E-04
    1.7550000E+01    1.5040268E-02    2.0748327E-01    1.9002105E-04
    1.7730000E+01    1.5017874E-02    2.0748114E-01    1.9002105E-04
    1.7910000E+01    1.5006072E-02    2.0748006E-01    1.9002105E-04
