# Time          5.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer           HCO3-            Al(OH)2+         AlO2-            AlOH++           FeOH+            FeOH++           FeSO4(aq)        FeSO4+           OH-              CO3--            FeCO3(aq)        FeCO3+           FeHCO3+          NaCO3-           NaHCO3(aq)   
    9.0000000E-02    5.8553473E+00   -5.8476748E+00   -3.9999999E+00   -4.7249451E+00   -4.9433852E+00   -5.0084847E+00   -7.0963367E+00   -4.5141658E+00   -2.9296349E+00   -3.4641332E+00   -6.4486780E+00   -7.1439244E+00   -1.4354650E+01   -1.4000000E+01   -1.4000004E+01   -5.1269418E+00   -1.4000000E+01   -3.2711991E+00   -3.0000000E+01   -3.5098757E+00   -6.8430527E+00   -8.1100568E+00   -6.6379197E+00   -1.0811897E+01   -1.0727006E+01   -1.9006655E+01   -2.6722875E+01   -8.6021331E+00   -8.0937246E+00   -1.0436339E+01   -1.2262997E+01   -7.9649900E+00   -1.2179102E+01   -7.9826261E+00
    2.7000000E-01    5.9263903E+00   -5.9178637E+00   -3.9999999E+00   -4.5007385E+00   -4.6911512E+00   -4.7491423E+00   -7.5919223E+00   -4.2584096E+00   -2.9368229E+00   -3.4641678E+00   -6.4486839E+00   -7.0919388E+00   -1.4700852E+01   -1.4000000E+01   -1.4000005E+01   -4.8747577E+00   -1.4000000E+01   -3.2691327E+00   -3.0000000E+01   -3.4451128E+00   -7.2033584E+00   -8.3282766E+00   -7.0665763E+00   -1.0691503E+01   -1.1006279E+01   -1.8961825E+01   -2.7079497E+01   -8.5301838E+00   -7.9552267E+00   -1.0252991E+01   -1.2481100E+01   -7.8517772E+00   -1.1819990E+01   -7.6954658E+00
    4.5000000E-01    5.9853768E+00   -5.9761467E+00   -3.9999999E+00   -4.3692029E+00   -4.5516190E+00   -4.5526183E+00   -7.9366508E+00   -4.1209483E+00   -2.9438163E+00   -3.4642019E+00   -6.4486892E+00   -7.1253773E+00   -1.4871164E+01   -1.4000000E+01   -1.4000004E+01   -4.7381695E+00   -1.4000000E+01   -3.2670760E+00   -3.0000000E+01   -3.3923675E+00   -7.4357177E+00   -8.4426629E+00   -7.3556939E+00   -1.0668130E+01   -1.1120980E+01   -1.9001184E+01   -2.7258405E+01   -8.4704464E+00   -7.8412667E+00   -1.0178372E+01   -1.2546031E+01   -7.8353924E+00   -1.1577469E+01   -7.5126835E+00
    6.3000000E-01    6.0357743E+00   -6.0259437E+00   -3.9999999E+00   -4.2780476E+00   -4.4561714E+00   -4.4069153E+00   -8.2040350E+00   -4.0317006E+00   -2.9506490E+00   -3.4642356E+00   -6.4486941E+00   -7.1966493E+00   -1.5016821E+01   -1.4000000E+01   -1.4000003E+01   -4.6456870E+00   -1.4000000E+01   -3.2650290E+00   -3.0000000E+01   -3.3481574E+00   -7.6070882E+00   -8.5132384E+00   -7.5755524E+00   -1.0690866E+01   -1.1219112E+01   -1.9077527E+01   -2.7411408E+01   -8.4194050E+00   -7.7447496E+00   -1.0158182E+01   -1.2602502E+01   -7.8649552E+00   -1.1392346E+01   -7.3786032E+00
    8.1000000E-01    6.0798551E+00   -6.0694969E+00   -3.9999999E+00   -4.2092986E+00   -4.3828981E+00   -4.2973973E+00   -8.4253602E+00   -3.9683757E+00   -2.9573491E+00   -3.4642690E+00   -6.4486987E+00   -7.2816744E+00   -1.5144291E+01   -1.4000000E+01   -1.4000003E+01   -4.5751218E+00   -1.4000000E+01   -3.2629917E+00   -3.0000000E+01   -3.3102072E+00   -7.7444519E+00   -8.5624405E+00   -7.7553131E+00   -1.0733449E+01   -1.1305017E+01   -1.9167023E+01   -2.7545341E+01   -8.3747559E+00   -7.6610347E+00   -1.0163949E+01   -1.2652705E+01   -7.9142330E+00   -1.1242131E+01   -7.2730379E+00
    9.9000000E-01    6.1191199E+00   -6.1082885E+00   -3.9999999E+00   -4.1546785E+00   -4.3226488E+00   -4.2129842E+00   -8.6153886E+00   -3.9210971E+00   -2.9639403E+00   -3.4643022E+00   -6.4487031E+00   -7.3670753E+00   -1.5257844E+01   -1.4000000E+01   -1.4000002E+01   -4.5173000E+00   -1.4000000E+01   -3.2609638E+00   -3.0000000E+01   -3.2770206E+00   -7.8597179E+00   -8.5991768E+00   -7.9083286E+00   -1.0781057E+01   -1.1381557E+01   -1.9256447E+01   -2.7664699E+01   -8.3349793E+00   -7.5870678E+00   -1.0179392E+01   -1.2698082E+01   -7.9684280E+00   -1.1115567E+01   -7.1862521E+00
    1.1700000E+00    6.1546157E+00   -6.1433532E+00   -3.9999999E+00   -4.1097164E+00   -4.2710515E+00   -4.1459549E+00   -8.7821266E+00   -3.8845325E+00   -2.9704427E+00   -3.4643351E+00   -6.4487073E+00   -7.4466505E+00   -1.5360476E+01   -1.4000000E+01   -1.4000002E+01   -4.4678709E+00   -1.4000000E+01   -3.2589454E+00   -3.0000000E+01   -3.2475583E+00   -7.9588944E+00   -8.6273617E+00   -8.0416168E+00   -1.0826480E+01   -1.1450740E+01   -1.9339696E+01   -2.7772623E+01   -8.2990158E+00   -7.5207258E+00   -1.0196285E+01   -1.2739650E+01   -8.0203484E+00   -1.1006111E+01   -7.1127607E+00
    1.3500000E+00    6.1870833E+00   -6.1754240E+00   -3.9999999E+00   -4.0717354E+00   -4.2257465E+00   -4.0912743E+00   -8.9311499E+00   -3.8556038E+00   -2.9768732E+00   -3.4643679E+00   -6.4487113E+00   -7.5187472E+00   -1.5454326E+01   -1.4000000E+01   -1.4000001E+01   -4.4245025E+00   -1.4000000E+01   -3.2569363E+00   -3.0000000E+01   -3.2210884E+00   -8.0461394E+00   -8.6496715E+00   -8.1600521E+00   -1.0867347E+01   -1.1514001E+01   -1.9415183E+01   -2.7871349E+01   -8.2661165E+00   -7.4605109E+00   -1.0211544E+01   -1.2778148E+01   -8.0676418E+00   -1.0909621E+01   -7.0491712E+00
    1.5300000E+00    6.2170674E+00   -6.2050399E+00   -3.9999999E+00   -4.0390136E+00   -4.1853196E+00   -4.0455885E+00   -9.0661679E+00   -3.8323780E+00   -2.9832466E+00   -3.4644006E+00   -6.4487152E+00   -7.5839089E+00   -1.5540975E+01   -1.4000000E+01   -1.4000001E+01   -4.3858103E+00   -1.4000000E+01   -3.2549364E+00   -3.0000000E+01   -3.1970747E+00   -8.1241179E+00   -8.6676818E+00   -8.2668266E+00   -1.0903675E+01   -1.1572407E+01   -1.9483497E+01   -2.7962525E+01   -8.2357305E+00   -7.4053250E+00   -1.0224660E+01   -1.2814126E+01   -8.1103389E+00   -1.0823300E+01   -6.9932373E+00
    1.7100000E+00    6.2449826E+00   -6.2326113E+00   -3.9999999E+00   -4.0103829E+00   -4.1488322E+00   -4.0066230E+00   -9.1897232E+00   -3.8135508E+00   -2.9895761E+00   -3.4644331E+00   -6.4487189E+00   -7.6433205E+00   -1.5621630E+01   -1.4000000E+01   -1.4000001E+01   -4.3508839E+00   -1.4000000E+01   -3.2529455E+00   -3.0000000E+01   -3.1751116E+00   -8.1945774E+00   -8.6823109E+00   -8.3640892E+00   -1.0936248E+01   -1.1626769E+01   -1.9545859E+01   -2.8047412E+01   -8.2074390E+00   -7.3543346E+00   -1.0236020E+01   -1.2848011E+01   -8.1492364E+00   -1.0745164E+01   -6.9433940E+00
