# Time          5.0000E+01
    Distance         pH
  9.0000E-02    5.8434E+00
  2.7000E-01    5.9063E+00
  4.5000E-01    5.9598E+00
  6.3000E-01    6.0062E+00
  8.1000E-01    6.0472E+00
  9.9000E-01    6.0839E+00
  1.1700E+00    6.1174E+00
  1.3500E+00    6.1480E+00
  1.5300E+00    6.1765E+00
  1.7100E+00    6.2030E+00
  1.8900E+00    6.2279E+00
  2.0700E+00    6.2525E+00
  2.2500E+00    6.2755E+00
  2.4300E+00    6.2973E+00
  2.6100E+00    6.3180E+00
  2.7900E+00    6.3378E+00
  2.9700E+00    6.3567E+00
  3.1500E+00    6.3749E+00
  3.3300E+00    6.3923E+00
  3.5100E+00    6.4092E+00
  3.6900E+00    6.4254E+00
  3.8700E+00    6.4412E+00
  4.0500E+00    6.4564E+00
  4.2300E+00    6.4713E+00
  4.4100E+00    6.4857E+00
  4.5900E+00    6.4997E+00
  4.7700E+00    6.5134E+00
  4.9500E+00    6.5268E+00
  5.1300E+00    6.5398E+00
  5.3100E+00    6.5526E+00
  5.4900E+00    6.5651E+00
  5.6700E+00    6.5774E+00
  5.8500E+00    6.5894E+00
  6.0300E+00    6.6012E+00
  6.2100E+00    6.6128E+00
  6.3900E+00    6.6242E+00
  6.5700E+00    6.6353E+00
  6.7500E+00    6.6463E+00
  6.9300E+00    6.6572E+00
  7.1100E+00    6.6678E+00
  7.2900E+00    6.6783E+00
  7.4700E+00    6.6887E+00
  7.6500E+00    6.6989E+00
  7.8300E+00    6.7089E+00
  8.0100E+00    6.7189E+00
  8.1900E+00    6.7287E+00
  8.3700E+00    6.7385E+00
  8.5500E+00    6.7481E+00
  8.7300E+00    6.7576E+00
  8.9100E+00    6.7669E+00
  9.0900E+00    6.7762E+00
  9.2700E+00    6.7853E+00
  9.4500E+00    6.7942E+00
  9.6300E+00    6.8031E+00
  9.8100E+00    6.8118E+00
  9.9900E+00    6.8203E+00
  1.0170E+01    6.8288E+00
  1.0350E+01    6.8371E+00
  1.0530E+01    6.8452E+00
  1.0710E+01    6.8532E+00
  1.0890E+01    6.8611E+00
  1.1070E+01    6.8688E+00
  1.1250E+01    6.8763E+00
  1.1430E+01    6.8836E+00
  1.1610E+01    6.8908E+00
  1.1790E+01    6.8977E+00
  1.1970E+01    6.9044E+00
  1.2150E+01    6.9109E+00
  1.2330E+01    6.9172E+00
  1.2510E+01    6.9219E+00
  1.2690E+01    6.9266E+00
  1.2870E+01    6.9313E+00
  1.3050E+01    6.9360E+00
  1.3230E+01    6.9406E+00
  1.3410E+01    6.9452E+00
  1.3590E+01    6.9497E+00
  1.3770E+01    6.9542E+00
  1.3950E+01    6.9586E+00
  1.4130E+01    6.9630E+00
  1.4310E+01    6.9674E+00
  1.4490E+01    6.9717E+00
  1.4670E+01    6.9759E+00
  1.4850E+01    6.9801E+00
  1.5030E+01    6.9842E+00
  1.5210E+01    6.9882E+00
  1.5390E+01    6.9921E+00
  1.5570E+01    6.9960E+00
  1.5750E+01    6.9998E+00
  1.5930E+01    7.0034E+00
  1.6110E+01    7.0070E+00
  1.6290E+01    7.0104E+00
  1.6470E+01    7.0138E+00
  1.6650E+01    7.0169E+00
  1.6830E+01    7.0200E+00
  1.7010E+01    7.0228E+00
  1.7190E+01    7.0255E+00
  1.7370E+01    7.0280E+00
  1.7550E+01    7.0303E+00
  1.7730E+01    7.0324E+00
  1.7910E+01    7.0342E+00
