# Time          5.0000E+01
    Distance         pH
  9.0000E-02    5.7996E+00
  2.7000E-01    5.8260E+00
  4.5000E-01    5.8513E+00
  6.3000E-01    5.8753E+00
  8.1000E-01    5.8979E+00
  9.9000E-01    5.9192E+00
  1.1700E+00    5.9393E+00
  1.3500E+00    5.9585E+00
  1.5300E+00    5.9766E+00
  1.7100E+00    5.9940E+00
  1.8900E+00    6.0107E+00
  2.0700E+00    6.0279E+00
  2.2500E+00    6.0442E+00
  2.4300E+00    6.0598E+00
  2.6100E+00    6.0748E+00
  2.7900E+00    6.0891E+00
  2.9700E+00    6.1029E+00
  3.1500E+00    6.1162E+00
  3.3300E+00    6.1291E+00
  3.5100E+00    6.1415E+00
  3.6900E+00    6.1535E+00
  3.8700E+00    6.1652E+00
  4.0500E+00    6.1765E+00
  4.2300E+00    6.1874E+00
  4.4100E+00    6.1981E+00
  4.5900E+00    6.2085E+00
  4.7700E+00    6.2186E+00
  4.9500E+00    6.2285E+00
  5.1300E+00    6.2382E+00
  5.3100E+00    6.2476E+00
  5.4900E+00    6.2568E+00
  5.6700E+00    6.2658E+00
  5.8500E+00    6.2747E+00
  6.0300E+00    6.2833E+00
  6.2100E+00    6.2918E+00
  6.3900E+00    6.3001E+00
  6.5700E+00    6.3082E+00
  6.7500E+00    6.3162E+00
  6.9300E+00    6.3241E+00
  7.1100E+00    6.3318E+00
  7.2900E+00    6.3394E+00
  7.4700E+00    6.3469E+00
  7.6500E+00    6.3543E+00
  7.8300E+00    6.3615E+00
  8.0100E+00    6.3687E+00
  8.1900E+00    6.3758E+00
  8.3700E+00    6.3828E+00
  8.5500E+00    6.3898E+00
  8.7300E+00    6.3966E+00
  8.9100E+00    6.4033E+00
  9.0900E+00    6.4099E+00
  9.2700E+00    6.4165E+00
  9.4500E+00    6.4229E+00
  9.6300E+00    6.4293E+00
  9.8100E+00    6.4355E+00
  9.9900E+00    6.4417E+00
  1.0170E+01    6.4478E+00
  1.0350E+01    6.4538E+00
  1.0530E+01    6.4597E+00
  1.0710E+01    6.4656E+00
  1.0890E+01    6.4713E+00
  1.1070E+01    6.4770E+00
  1.1250E+01    6.4825E+00
  1.1430E+01    6.4879E+00
  1.1610E+01    6.4932E+00
  1.1790E+01    6.4984E+00
  1.1970E+01    6.5034E+00
  1.2150E+01    6.5082E+00
  1.2330E+01    6.5127E+00
  1.2510E+01    6.5158E+00
  1.2690E+01    6.5188E+00
  1.2870E+01    6.5218E+00
  1.3050E+01    6.5247E+00
  1.3230E+01    6.5277E+00
  1.3410E+01    6.5306E+00
  1.3590E+01    6.5336E+00
  1.3770E+01    6.5365E+00
  1.3950E+01    6.5394E+00
  1.4130E+01    6.5423E+00
  1.4310E+01    6.5451E+00
  1.4490E+01    6.5480E+00
  1.4670E+01    6.5508E+00
  1.4850E+01    6.5536E+00
  1.5030E+01    6.5564E+00
  1.5210E+01    6.5592E+00
  1.5390E+01    6.5620E+00
  1.5570E+01    6.5647E+00
  1.5750E+01    6.5674E+00
  1.5930E+01    6.5701E+00
  1.6110E+01    6.5728E+00
  1.6290E+01    6.5754E+00
  1.6470E+01    6.5780E+00
  1.6650E+01    6.5805E+00
  1.6830E+01    6.5830E+00
  1.7010E+01    6.5854E+00
  1.7190E+01    6.5877E+00
  1.7370E+01    6.5900E+00
  1.7550E+01    6.5921E+00
  1.7730E+01    6.5940E+00
  1.7910E+01    6.5957E+00
