# Time          5.0000E+01
# Units: Bars
    Distance        CO2(g)           O2(g)            CH4(g)          
    9.0000000E-02    1.1936287E-02    2.0999451E-01    1.9000015E-04
    2.7000000E-01    1.1756010E-02    2.0998354E-01    1.9000047E-04
    4.5000000E-01    1.1580949E-02    2.0997249E-01    1.9000079E-04
    6.3000000E-01    1.1412168E-02    2.0996137E-01    1.9000109E-04
    8.1000000E-01    1.1249579E-02    2.0995017E-01    1.9000139E-04
    9.9000000E-01    1.1092506E-02    2.0993892E-01    1.9000169E-04
    1.1700000E+00    1.0940160E-02    2.0992760E-01    1.9000198E-04
    1.3500000E+00    1.0791726E-02    2.0991623E-01    1.9000226E-04
    1.5300000E+00    1.0646365E-02    2.0990479E-01    1.9000254E-04
    1.7100000E+00    1.0503181E-02    2.0989330E-01    1.9000282E-04
    1.8900000E+00    1.0361174E-02    2.0988174E-01    1.9000309E-04
    2.0700000E+00    1.0220170E-02    2.0987019E-01    1.9000335E-04
    2.2500000E+00    1.0084380E-02    2.0985866E-01    1.9000361E-04
    2.4300000E+00    9.9526285E-03    2.0984705E-01    1.9000386E-04
    2.6100000E+00    9.8246176E-03    2.0983538E-01    1.9000411E-04
    2.7900000E+00    9.7000807E-03    2.0982362E-01    1.9000435E-04
    2.9700000E+00    9.5787796E-03    2.0981180E-01    1.9000459E-04
    3.1500000E+00    9.4605005E-03    2.0979990E-01    1.9000482E-04
    3.3300000E+00    9.3450513E-03    2.0978792E-01    1.9000505E-04
    3.5100000E+00    9.2322581E-03    2.0977586E-01    1.9000527E-04
    3.6900000E+00    9.1219632E-03    2.0976373E-01    1.9000549E-04
    3.8700000E+00    9.0140237E-03    2.0975151E-01    1.9000571E-04
    4.0500000E+00    8.9083128E-03    2.0973922E-01    1.9000592E-04
    4.2300000E+00    8.8047145E-03    2.0972685E-01    1.9000613E-04
    4.4100000E+00    8.7031226E-03    2.0971440E-01    1.9000633E-04
    4.5900000E+00    8.6034398E-03    2.0970187E-01    1.9000653E-04
    4.7700000E+00    8.5055761E-03    2.0968926E-01    1.9000673E-04
    4.9500000E+00    8.4094487E-03    2.0967656E-01    1.9000692E-04
    5.1300000E+00    8.3149809E-03    2.0966378E-01    1.9000711E-04
    5.3100000E+00    8.2221015E-03    2.0965092E-01    1.9000729E-04
    5.4900000E+00    8.1307444E-03    2.0963797E-01    1.9000747E-04
    5.6700000E+00    8.0408479E-03    2.0962494E-01    1.9000765E-04
