# Time          5.0000E+01
# Units: Bars
    Distance        CO2(g)           O2(g)            CH4(g)          
    9.0000000E-02    4.0671115E-02    2.0664958E-01    1.9000024E-04
    2.7000000E-01    4.0976990E-02    2.0106446E-01    1.9000072E-04
    4.5000000E-01    4.1243961E-02    1.9558544E-01    1.9000120E-04
    6.3000000E-01    4.1574460E-02    1.9010039E-01    1.9000167E-04
    8.1000000E-01    4.1986915E-02    1.8459734E-01    1.9000213E-04
    9.9000000E-01    4.2491466E-02    1.7907492E-01    1.9000259E-04
    1.1700000E+00    4.3098406E-02    1.7353298E-01    1.9000305E-04
    1.3500000E+00    4.3819269E-02    1.6797154E-01    1.9000350E-04
    1.5300000E+00    4.4667107E-02    1.6239063E-01    1.9000394E-04
    1.7100000E+00    4.5656690E-02    1.5679030E-01    1.9000438E-04
    1.8900000E+00    4.6804730E-02    1.5117057E-01    1.9000482E-04
    2.0700000E+00    4.8121218E-02    1.4556928E-01    1.9000524E-04
    2.2500000E+00    4.9453583E-02    1.4016267E-01    1.9000566E-04
    2.4300000E+00    5.0787580E-02    1.3493808E-01    1.9000607E-04
    2.6100000E+00    5.2119417E-02    1.2989996E-01    1.9000648E-04
    2.7900000E+00    5.3447909E-02    1.2504974E-01    1.9000688E-04
    2.9700000E+00    5.4772208E-02    1.2038836E-01    1.9000728E-04
    3.1500000E+00    5.6091466E-02    1.1591669E-01    1.9000767E-04
    3.3300000E+00    5.7404770E-02    1.1163555E-01    1.9000805E-04
    3.5100000E+00    5.8711121E-02    1.0754578E-01    1.9000843E-04
    3.6900000E+00    6.0009420E-02    1.0364818E-01    1.9000880E-04
    3.8700000E+00    6.1298453E-02    9.9943558E-02    1.9000917E-04
    4.0500000E+00    6.2576870E-02    9.6432725E-02    1.9000953E-04
    4.2300000E+00    6.3843169E-02    9.3116479E-02    1.9000988E-04
    4.4100000E+00    6.5095671E-02    8.9995624E-02    1.9001023E-04
    4.5900000E+00    6.6332497E-02    8.7070967E-02    1.9001057E-04
    4.7700000E+00    6.7551540E-02    8.4343323E-02    1.9001091E-04
    4.9500000E+00    6.8750434E-02    8.1813517E-02    1.9001124E-04
    5.1300000E+00    6.9926517E-02    7.9482385E-02    1.9001157E-04
    5.3100000E+00    7.1076799E-02    7.7350776E-02    1.9001188E-04
    5.4900000E+00    7.2197911E-02    7.5419556E-02    1.9001220E-04
    5.6700000E+00    7.3286060E-02    7.3689612E-02    1.9001251E-04
    5.8500000E+00    7.4336976E-02    7.2161847E-02    1.9001281E-04
    6.0300000E+00    7.5345853E-02    7.0837186E-02    1.9001310E-04
    6.2100000E+00    7.6307278E-02    6.9716578E-02    1.9001339E-04
    6.3900000E+00    7.7215162E-02    6.8800991E-02    1.9001368E-04
    6.5700000E+00    7.8062652E-02    6.8091416E-02    1.9001396E-04
    6.7500000E+00    7.8842046E-02    6.7588860E-02    1.9001423E-04
    6.9300000E+00    7.9544683E-02    6.7294353E-02    1.9001450E-04
    7.1100000E+00    8.0160833E-02    6.7208935E-02    1.9001476E-04
    7.2900000E+00    8.0679572E-02    6.7333658E-02    1.9001501E-04
    7.4700000E+00    8.1088631E-02    6.7669583E-02    1.9001526E-04
    7.6500000E+00    8.1374244E-02    6.8217773E-02    1.9001551E-04
    7.8300000E+00    8.1520966E-02    6.8979288E-02    1.9001574E-04
    8.0100000E+00    8.1511470E-02    6.9955185E-02    1.9001597E-04
    8.1900000E+00    8.1324989E-02    7.1155250E-02    1.9001620E-04
