# Time          5.0000E+01
    Distance         pH
  9.0000E-02    5.7669E+00
  2.7000E-01    5.7747E+00
  4.5000E-01    5.7898E+00
  6.3000E-01    5.8065E+00
  8.1000E-01    5.8229E+00
  9.9000E-01    5.8384E+00
  1.1700E+00    5.8528E+00
  1.3500E+00    5.8658E+00
  1.5300E+00    5.8774E+00
  1.7100E+00    5.8871E+00
  1.8900E+00    5.8948E+00
  2.0700E+00    5.9013E+00
  2.2500E+00    5.9067E+00
  2.4300E+00    5.9115E+00
  2.6100E+00    5.9159E+00
  2.7900E+00    5.9201E+00
  2.9700E+00    5.9240E+00
  3.1500E+00    5.9276E+00
  3.3300E+00    5.9311E+00
  3.5100E+00    5.9343E+00
  3.6900E+00    5.9374E+00
  3.8700E+00    5.9403E+00
  4.0500E+00    5.9431E+00
  4.2300E+00    5.9457E+00
  4.4100E+00    5.9482E+00
  4.5900E+00    5.9505E+00
  4.7700E+00    5.9527E+00
  4.9500E+00    5.9549E+00
  5.1300E+00    5.9569E+00
  5.3100E+00    5.9588E+00
  5.4900E+00    5.9607E+00
  5.6700E+00    5.9624E+00
  5.8500E+00    5.9641E+00
  6.0300E+00    5.9658E+00
  6.2100E+00    5.9674E+00
  6.3900E+00    5.9690E+00
  6.5700E+00    5.9706E+00
  6.7500E+00    5.9722E+00
  6.9300E+00    5.9740E+00
  7.1100E+00    5.9758E+00
  7.2900E+00    5.9779E+00
  7.4700E+00    5.9802E+00
  7.6500E+00    5.9831E+00
  7.8300E+00    5.9865E+00
  8.0100E+00    5.9908E+00
  8.1900E+00    5.9964E+00
  8.3700E+00    6.0025E+00
  8.5500E+00    6.0088E+00
  8.7300E+00    6.0152E+00
  8.9100E+00    6.0216E+00
  9.0900E+00    6.0278E+00
  9.2700E+00    6.0340E+00
  9.4500E+00    6.0401E+00
  9.6300E+00    6.0460E+00
  9.8100E+00    6.0519E+00
  9.9900E+00    6.0577E+00
  1.0170E+01    6.0633E+00
  1.0350E+01    6.0689E+00
  1.0530E+01    6.0743E+00
  1.0710E+01    6.0797E+00
  1.0890E+01    6.0850E+00
  1.1070E+01    6.0901E+00
  1.1250E+01    6.0952E+00
  1.1430E+01    6.1002E+00
  1.1610E+01    6.1051E+00
  1.1790E+01    6.1098E+00
  1.1970E+01    6.1144E+00
  1.2150E+01    6.1189E+00
  1.2330E+01    6.1232E+00
  1.2510E+01    6.1257E+00
  1.2690E+01    6.1281E+00
  1.2870E+01    6.1306E+00
  1.3050E+01    6.1330E+00
  1.3230E+01    6.1354E+00
  1.3410E+01    6.1377E+00
  1.3590E+01    6.1401E+00
  1.3770E+01    6.1425E+00
  1.3950E+01    6.1448E+00
  1.4130E+01    6.1471E+00
  1.4310E+01    6.1494E+00
  1.4490E+01    6.1517E+00
  1.4670E+01    6.1540E+00
  1.4850E+01    6.1562E+00
  1.5030E+01    6.1585E+00
  1.5210E+01    6.1607E+00
  1.5390E+01    6.1629E+00
  1.5570E+01    6.1651E+00
  1.5750E+01    6.1673E+00
  1.5930E+01    6.1695E+00
  1.6110E+01    6.1716E+00
  1.6290E+01    6.1738E+00
  1.6470E+01    6.1759E+00
  1.6650E+01    6.1780E+00
  1.6830E+01    6.1801E+00
  1.7010E+01    6.1821E+00
  1.7190E+01    6.1841E+00
  1.7370E+01    6.1861E+00
  1.7550E+01    6.1880E+00
  1.7730E+01    6.1898E+00
  1.7910E+01    6.1916E+00
